"type","name","count","units","time_units"
"clip","LT Butterfly, left",223,"N","s"

"time","value"
0.600,55.224
0.610,322.022
0.620,329.911
0.630,361.467
0.640,392.307
0.650,437.132
0.660,479.805
0.670,521.761
0.680,590.253
0.690,654.443
0.700,711.101
0.710,766.325
0.720,798.599
0.730,818.681
0.740,827.287
0.750,828.721
0.760,814.377
0.770,788.200
0.780,757.002
0.790,718.632
0.800,688.868
0.810,661.973
0.820,634.720
0.830,616.790
0.840,609.259
0.850,605.673
0.860,617.507
0.870,627.189
0.880,637.230
0.890,645.836
0.900,662.332
0.910,673.807
0.920,682.772
0.930,693.171
0.940,705.005
0.950,713.253
0.960,721.142
0.970,735.844
0.980,749.471
0.990,763.098
1.000,776.007
1.010,795.013
1.020,812.943
1.030,833.383
1.040,849.162
1.050,865.657
1.060,878.567
1.070,885.380
1.080,881.435
1.090,871.395
1.100,852.389
1.110,827.646
1.120,786.765
1.130,730.465
1.140,655.518
1.150,565.151
1.160,464.027
1.170,350.709
1.180,210.139
1.190,79.609
1.200,44.466
1.210,19.364
1.220,2.869
1.600,10.758
1.610,132.323
1.620,318.794
1.630,361.467
1.640,400.555
1.650,429.960
1.660,461.158
1.670,498.452
1.680,542.201
1.690,596.350
1.700,643.326
1.710,704.288
1.720,746.602
1.730,776.366
1.740,800.751
1.750,815.453
1.760,820.832
1.770,812.585
1.780,795.013
1.790,772.063
1.800,745.527
1.810,732.617
1.820,710.742
1.830,688.868
1.840,679.903
1.850,672.731
1.860,663.407
1.870,656.953
1.880,649.781
1.890,645.119
1.900,643.685
1.910,647.988
1.920,651.215
1.930,660.180
1.940,669.862
1.950,686.716
1.960,703.929
1.970,722.576
1.980,734.410
1.990,749.830
2.000,759.871
2.010,770.628
2.020,782.462
2.030,798.241
2.040,806.847
2.050,815.095
2.060,815.812
2.070,810.074
2.080,804.337
2.090,795.730
2.100,776.007
2.110,748.037
2.120,713.611
2.130,668.069
2.140,604.597
2.150,526.064
2.160,431.753
2.170,332.062
2.180,223.048
2.190,128.737
2.200,60.962
2.210,34.784
2.220,8.248
