"type","name","count","units","time_units"
"clip","Force curve",100,"N","%"

"time","value"
0.000,42.494
1.000,207.539
2.000,320.139
3.000,359.361
4.000,362.723
5.000,374.601
6.000,401.944
7.000,437.177
8.000,484.332
9.000,545.653
10.000,611.590
11.000,670.355
12.000,712.849
13.000,740.327
14.000,759.467
15.000,771.256
16.000,774.887
17.000,770.897
18.000,760.319
19.000,746.199
20.000,730.914
21.000,715.068
22.000,699.088
23.000,682.929
24.000,666.904
25.000,651.036
26.000,637.319
27.000,627.548
28.000,620.645
29.000,617.417
30.000,618.986
31.000,624.813
32.000,633.218
33.000,642.609
34.000,654.106
35.000,668.786
36.000,685.506
37.000,702.943
38.000,721.321
39.000,741.403
40.000,761.977
41.000,781.566
42.000,800.661
43.000,820.048
44.000,838.359
45.000,854.697
46.000,870.902
47.000,886.097
48.000,897.348
49.000,903.758
50.000,904.789
51.000,898.155
52.000,880.449
53.000,852.568
54.000,815.072
55.000,763.322
56.000,698.214
57.000,623.782
58.000,537.808
59.000,440.897
60.000,343.986
61.000,257.026
62.000,176.789
63.000,102.783
64.000,49.890
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
