"type","name","count","units","time_units"
"clip","Force curve",100,"N","%"

"time","value"
0.000,55.224
1.000,322.022
2.000,329.911
3.000,361.467
4.000,392.307
5.000,437.132
6.000,479.805
7.000,521.761
8.000,590.253
9.000,654.443
10.000,711.101
11.000,766.325
12.000,798.599
13.000,818.681
14.000,827.287
15.000,828.721
16.000,814.377
17.000,788.200
18.000,757.002
19.000,718.632
20.000,688.868
21.000,661.973
22.000,634.720
23.000,616.790
24.000,609.259
25.000,605.673
26.000,617.507
27.000,627.189
28.000,637.230
29.000,645.836
30.000,662.332
31.000,673.807
32.000,682.772
33.000,693.171
34.000,705.005
35.000,713.253
36.000,721.142
37.000,735.844
38.000,749.471
39.000,763.098
40.000,776.007
41.000,795.013
42.000,812.943
43.000,833.383
44.000,849.162
45.000,865.657
46.000,878.567
47.000,885.380
48.000,881.435
49.000,871.395
50.000,852.389
51.000,827.646
52.000,786.765
53.000,730.465
54.000,655.518
55.000,565.151
56.000,464.027
57.000,350.709
58.000,210.139
59.000,79.609
60.000,44.466
61.000,19.364
62.000,2.869
63.000,0.000
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
