"type","name","count","units","time_units"
"clip","Force curve",100,"N","%"

"time","value"
0.000,67.417
1.000,256.667
2.000,383.790
3.000,445.469
4.000,472.812
5.000,503.652
6.000,545.877
7.000,585.771
8.000,632.030
9.000,692.902
10.000,758.705
11.000,815.453
12.000,852.210
13.000,869.960
14.000,873.995
15.000,863.326
16.000,839.300
17.000,808.640
18.000,775.738
19.000,748.754
20.000,747.947
21.000,743.778
22.000,736.831
23.000,727.104
24.000,714.328
25.000,698.460
26.000,681.248
27.000,665.200
28.000,650.767
29.000,637.857
30.000,628.265
31.000,625.037
32.000,639.202
33.000,653.636
34.000,669.055
35.000,687.165
36.000,707.874
37.000,728.941
38.000,750.995
39.000,776.097
40.000,801.647
41.000,824.239
42.000,845.127
43.000,863.864
44.000,876.325
45.000,885.021
46.000,892.911
47.000,896.586
48.000,898.379
49.000,915.413
50.000,928.770
51.000,935.494
52.000,933.612
53.000,924.019
54.000,902.100
55.000,861.085
56.000,805.188
57.000,742.210
58.000,669.862
59.000,585.592
60.000,492.177
61.000,391.410
62.000,279.976
63.000,169.886
64.000,90.367
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
