"type","name","count","units","time_units"
"clip","Force curve",100,"N","%"

"time","value"
0.000,17.571
1.000,158.411
2.000,256.488
3.000,273.252
4.000,252.633
5.000,245.550
6.000,258.012
7.000,288.582
8.000,336.634
9.000,398.403
10.000,464.475
11.000,525.257
12.000,573.489
13.000,610.693
14.000,644.940
15.000,679.186
16.000,710.474
17.000,733.155
18.000,744.899
19.000,743.644
20.000,713.880
21.000,686.358
22.000,661.346
23.000,638.754
24.000,619.479
25.000,603.611
26.000,593.391
27.000,589.895
28.000,590.522
29.000,596.977
30.000,609.707
31.000,624.589
32.000,627.234
33.000,631.582
34.000,639.157
35.000,650.408
36.000,663.139
37.000,676.945
38.000,691.647
39.000,706.708
40.000,722.307
41.000,738.892
42.000,756.195
43.000,776.232
44.000,800.392
45.000,824.373
46.000,848.893
47.000,875.608
48.000,896.317
49.000,892.104
50.000,880.808
51.000,860.816
52.000,827.287
53.000,781.117
54.000,728.045
55.000,665.559
56.000,591.239
57.000,505.355
58.000,405.754
59.000,296.202
60.000,195.795
61.000,122.641
62.000,73.602
63.000,35.681
64.000,9.413
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
