"type","name","count","units","time_units"
"clip","Max. pressure curve",100,"N/cm²","%"

"time","value"
0.000,11.250
1.000,25.438
2.000,34.578
3.000,36.719
4.000,35.156
5.000,34.000
6.000,34.266
7.000,35.391
8.000,37.078
9.000,39.141
10.000,41.180
11.000,42.906
12.000,44.102
13.000,44.672
14.000,44.797
15.000,44.547
16.000,43.797
17.000,42.563
18.000,40.984
19.000,39.125
20.000,37.094
21.000,35.016
22.000,32.875
23.000,30.859
24.000,29.406
25.000,28.703
26.000,28.500
27.000,28.422
28.000,28.328
29.000,28.281
30.000,28.359
31.000,28.609
32.000,28.977
33.000,29.297
34.000,29.539
35.000,29.813
36.000,30.063
37.000,30.109
38.000,29.906
39.000,29.578
40.000,29.406
41.000,29.813
42.000,30.922
43.000,32.414
44.000,33.953
45.000,35.164
46.000,35.828
47.000,36.297
48.000,37.125
49.000,38.531
50.000,40.297
51.000,42.141
52.000,44.031
53.000,45.969
54.000,47.836
55.000,49.297
56.000,49.695
57.000,48.547
58.000,45.781
59.000,41.406
60.000,35.469
61.000,28.469
62.000,21.406
63.000,14.984
64.000,9.406
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
