"type","name","count","units","time_units"
"clip","Max. pressure curve",100,"N/cm²","%"

"time","value"
0.000,13.750
1.000,29.250
2.000,34.125
3.000,33.375
4.000,33.875
5.000,34.500
6.000,35.875
7.000,37.625
8.000,39.625
9.000,42.000
10.000,44.250
11.000,45.875
12.000,46.875
13.000,47.375
14.000,47.500
15.000,47.375
16.000,46.750
17.000,45.500
18.000,43.750
19.000,41.500
20.000,39.125
21.000,37.000
22.000,35.000
23.000,33.000
24.000,31.125
25.000,29.500
26.000,28.000
27.000,26.375
28.000,25.625
29.000,27.250
30.000,30.500
31.000,33.750
32.000,36.625
33.000,39.500
34.000,42.375
35.000,45.125
36.000,47.875
37.000,50.500
38.000,53.000
39.000,55.375
40.000,57.500
41.000,59.500
42.000,61.375
43.000,62.875
44.000,63.875
45.000,64.250
46.000,63.875
47.000,62.625
48.000,60.250
49.000,56.625
50.000,52.250
51.000,48.000
52.000,44.250
53.000,41.625
54.000,40.125
55.000,38.250
56.000,34.625
57.000,27.750
58.000,18.875
59.000,11.875
60.000,7.500
61.000,4.500
62.000,2.125
63.000,0.000
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
