"type","name","count","units","time_units"
"clip","Max. pressure curve",100,"N/cm²","%"

"time","value"
0.000,15.125
1.000,30.563
2.000,40.000
3.000,42.625
4.000,42.094
5.000,41.719
6.000,42.219
7.000,43.063
8.000,44.188
9.000,45.781
10.000,47.438
11.000,48.469
12.000,48.531
13.000,47.688
14.000,46.094
15.000,45.219
16.000,46.406
17.000,46.875
18.000,46.781
19.000,46.281
20.000,45.469
21.000,44.313
22.000,42.719
23.000,41.000
24.000,39.469
25.000,38.000
26.000,36.469
27.000,34.875
28.000,33.313
29.000,31.906
30.000,30.688
31.000,29.719
32.000,29.000
33.000,30.500
34.000,32.031
35.000,33.656
36.000,35.344
37.000,36.938
38.000,38.375
39.000,39.781
40.000,41.219
41.000,42.594
42.000,43.750
43.000,44.438
44.000,44.563
45.000,44.281
46.000,43.688
47.000,43.125
48.000,43.344
49.000,44.594
50.000,46.344
51.000,48.156
52.000,50.031
53.000,51.938
54.000,53.500
55.000,54.063
56.000,53.063
57.000,50.188
58.000,46.469
59.000,44.969
60.000,41.469
61.000,35.500
62.000,28.219
63.000,21.313
64.000,15.094
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
