"type","name","count","units","time_units"
"clip","Max. pressure curve",100,"N/cm²","%"

"time","value"
0.000,7.375
1.000,20.313
2.000,29.156
3.000,30.813
4.000,28.219
5.000,26.281
6.000,26.313
7.000,27.719
8.000,29.969
9.000,32.500
10.000,34.922
11.000,37.344
12.000,39.672
13.000,41.656
14.000,43.500
15.000,43.875
16.000,41.188
17.000,38.250
18.000,35.188
19.000,31.969
20.000,28.719
21.000,25.719
22.000,23.031
23.000,20.719
24.000,19.344
25.000,19.406
26.000,20.531
27.000,21.969
28.000,23.344
29.000,24.656
30.000,26.031
31.000,27.500
32.000,28.953
33.000,28.094
34.000,27.047
35.000,25.969
36.000,24.781
37.000,23.281
38.000,21.438
39.000,19.375
40.000,17.594
41.000,17.031
42.000,18.094
43.000,20.391
44.000,23.344
45.000,26.047
46.000,27.969
47.000,29.469
48.000,30.906
49.000,32.469
50.000,34.250
51.000,36.125
52.000,38.031
53.000,40.000
54.000,42.172
55.000,44.531
56.000,46.328
57.000,46.906
58.000,45.094
59.000,37.844
60.000,29.469
61.000,21.438
62.000,14.594
63.000,8.656
64.000,3.719
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
