"type","name","count","units","time_units"
"clip","LT Force curve",100,"N","%"

"time","value"
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.000
7.000,0.000
8.000,0.891
9.000,2.673
10.000,6.667
11.000,16.662
12.000,27.344
13.000,34.135
14.000,43.739
15.000,53.942
16.000,61.612
17.000,69.749
18.000,77.822
19.000,89.897
20.000,102.036
21.000,109.524
22.000,119.079
23.000,127.923
24.000,132.706
25.000,138.897
26.000,145.066
27.000,149.716
28.000,154.919
29.000,160.222
30.000,168.388
31.000,176.612
32.000,183.406
33.000,194.901
34.000,205.796
35.000,213.233
36.000,221.245
37.000,230.156
38.000,244.513
39.000,258.511
40.000,268.884
41.000,286.239
42.000,303.472
43.000,315.161
44.000,327.132
45.000,339.506
46.000,359.224
47.000,379.494
48.000,393.563
49.000,414.795
50.000,435.873
51.000,449.896
52.000,471.853
53.000,494.620
54.000,510.098
55.000,525.337
56.000,540.687
57.000,564.563
58.000,589.125
59.000,605.529
60.000,630.138
61.000,655.390
62.000,671.696
63.000,687.042
64.000,702.940
65.000,726.644
66.000,749.378
67.000,763.855
68.000,783.217
69.000,800.271
70.000,809.325
71.000,817.603
72.000,824.847
73.000,831.791
74.000,836.365
75.000,836.577
76.000,833.923
77.000,830.184
78.000,824.400
79.000,809.717
80.000,792.880
81.000,777.381
82.000,759.041
83.000,737.192
84.000,694.557
85.000,647.330
86.000,608.941
87.000,542.284
88.000,472.311
89.000,421.253
90.000,367.995
91.000,310.169
92.000,219.672
93.000,132.269
94.000,91.304
95.000,59.172
96.000,33.495
97.000,21.706
98.000,10.943
99.000,5.561
