"type","name","count","units","time_units"
"clip","RT Force curve",100,"N","%"

"time","value"
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.148
7.000,1.357
8.000,3.457
9.000,6.720
10.000,12.817
11.000,19.350
12.000,27.554
13.000,42.087
14.000,61.207
15.000,78.914
16.000,92.187
17.000,107.892
18.000,124.372
19.000,136.782
20.000,152.997
21.000,168.452
22.000,178.201
23.000,189.810
24.000,200.313
25.000,207.499
26.000,217.412
27.000,228.173
28.000,235.502
29.000,242.444
30.000,250.920
31.000,257.535
32.000,263.914
33.000,272.502
34.000,279.544
35.000,285.040
36.000,290.513
37.000,294.760
38.000,298.352
39.000,302.309
40.000,307.817
41.000,313.340
42.000,318.247
43.000,326.445
44.000,335.467
45.000,342.527
46.000,353.103
47.000,365.159
48.000,374.005
49.000,384.575
50.000,395.619
51.000,405.598
52.000,418.995
53.000,431.594
54.000,444.306
55.000,464.980
56.000,485.982
57.000,501.480
58.000,519.099
59.000,538.279
60.000,558.219
61.000,581.928
62.000,607.395
63.000,630.147
64.000,648.003
65.000,669.161
66.000,692.286
67.000,709.409
68.000,728.429
69.000,752.914
70.000,772.402
71.000,784.907
72.000,798.948
73.000,810.924
74.000,817.123
75.000,822.241
76.000,825.624
77.000,824.569
78.000,817.042
79.000,805.343
80.000,787.632
81.000,763.373
82.000,740.285
83.000,710.434
84.000,672.591
85.000,632.686
86.000,581.661
87.000,526.252
88.000,474.170
89.000,416.736
90.000,354.402
91.000,296.127
92.000,240.476
93.000,181.447
94.000,122.925
95.000,79.405
96.000,55.734
97.000,34.965
98.000,14.823
99.000,7.292
