"type","name","count","units","time_units"
"clip","LT Force curve",100,"N","%"

"time","value"
0.000,32.985
1.000,178.602
2.000,251.437
3.000,309.309
4.000,352.166
5.000,370.187
6.000,396.945
7.000,424.241
8.000,440.719
9.000,455.121
10.000,466.845
11.000,480.714
12.000,494.883
13.000,507.094
14.000,528.483
15.000,549.097
16.000,562.879
17.000,577.216
18.000,588.410
19.000,597.925
20.000,604.880
21.000,606.871
22.000,607.035
23.000,605.784
24.000,601.960
25.000,590.368
26.000,575.993
27.000,562.079
28.000,545.689
29.000,527.598
30.000,497.775
31.000,467.816
32.000,448.429
33.000,419.767
34.000,390.510
35.000,371.238
36.000,352.595
37.000,335.510
38.000,313.222
39.000,291.937
40.000,279.229
41.000,261.005
42.000,242.398
43.000,230.229
44.000,218.551
45.000,206.576
46.000,189.027
47.000,172.333
48.000,162.095
49.000,146.745
50.000,130.923
51.000,121.458
52.000,109.066
53.000,96.385
54.000,88.481
55.000,81.321
56.000,73.858
57.000,62.477
58.000,51.363
59.000,44.192
60.000,34.110
61.000,24.612
62.000,18.723
63.000,12.891
64.000,8.288
65.000,4.108
66.000,0.807
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
