"type","name","count","units","time_units"
"clip","RT Force curve",100,"N","%"

"time","value"
0.000,32.518
1.000,201.044
2.000,317.776
3.000,378.870
4.000,412.089
5.000,426.666
6.000,433.638
7.000,442.431
8.000,451.856
9.000,461.957
10.000,469.747
11.000,483.913
12.000,510.157
13.000,534.176
14.000,547.840
15.000,561.534
16.000,571.626
17.000,568.142
18.000,563.716
19.000,563.427
20.000,554.422
21.000,542.307
22.000,535.547
23.000,519.386
24.000,499.322
25.000,485.480
26.000,462.202
27.000,433.327
28.000,412.472
29.000,392.054
30.000,368.771
31.000,350.595
32.000,334.280
33.000,316.506
34.000,302.396
35.000,288.498
36.000,273.141
37.000,259.730
38.000,248.992
39.000,240.177
40.000,228.309
41.000,217.246
42.000,209.915
43.000,199.023
44.000,187.640
45.000,180.805
46.000,174.415
47.000,167.539
48.000,162.307
49.000,156.879
50.000,151.029
51.000,145.366
52.000,139.308
53.000,134.042
54.000,127.651
55.000,117.757
56.000,109.030
57.000,102.744
58.000,93.070
59.000,83.373
60.000,76.249
61.000,65.294
62.000,51.228
63.000,41.048
64.000,34.759
65.000,25.972
66.000,17.444
67.000,12.509
68.000,6.836
69.000,1.850
70.000,0.179
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
