"type","name","count","units","time_units"
"clip","LT Force curve",100,"N","%"

"time","value"
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.000
7.000,0.000
8.000,1.141
9.000,3.423
10.000,6.849
11.000,16.832
12.000,29.946
13.000,39.765
14.000,51.315
15.000,61.200
16.000,67.228
17.000,73.803
18.000,78.385
19.000,81.671
20.000,84.358
21.000,85.231
22.000,85.777
23.000,86.341
24.000,86.279
25.000,85.139
26.000,83.622
27.000,82.487
28.000,81.478
29.000,80.502
30.000,79.792
31.000,79.788
32.000,80.371
33.000,81.446
34.000,82.552
35.000,83.273
36.000,83.958
37.000,85.098
38.000,87.560
39.000,90.091
40.000,91.395
41.000,93.298
42.000,95.793
43.000,97.034
44.000,97.460
45.000,97.912
46.000,98.613
47.000,99.296
48.000,99.321
49.000,98.912
50.000,98.682
51.000,98.069
52.000,96.034
53.000,93.750
54.000,92.005
55.000,90.204
56.000,88.592
57.000,86.540
58.000,84.567
59.000,82.684
60.000,78.153
61.000,72.846
62.000,68.929
63.000,65.152
64.000,60.447
65.000,52.086
66.000,43.818
67.000,38.394
68.000,31.131
69.000,24.698
70.000,21.785
71.000,19.694
72.000,17.247
73.000,13.843
74.000,11.240
75.000,9.953
76.000,7.860
77.000,5.730
78.000,4.342
79.000,2.752
80.000,1.566
81.000,1.062
82.000,0.575
83.000,0.279
84.000,0.143
85.000,0.030
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
