"type","name","count","units","time_units"
"clip","RT Force curve",100,"N","%"

"time","value"
0.000,0.000
1.000,3.585
2.000,4.779
3.000,4.779
4.000,4.779
5.000,4.749
6.000,6.686
7.000,14.560
8.000,25.957
9.000,37.246
10.000,50.254
11.000,62.218
12.000,73.100
13.000,85.196
14.000,95.801
15.000,105.488
16.000,113.350
17.000,118.551
18.000,122.963
19.000,126.591
20.000,129.786
21.000,132.069
22.000,133.502
23.000,134.111
24.000,133.725
25.000,133.211
26.000,131.727
27.000,128.864
28.000,126.527
29.000,125.274
30.000,122.871
31.000,120.002
32.000,117.509
33.000,113.370
34.000,109.562
35.000,107.474
36.000,104.658
37.000,101.873
38.000,99.845
39.000,96.933
40.000,94.956
41.000,94.581
42.000,93.213
43.000,91.666
44.000,91.458
45.000,91.322
46.000,90.870
47.000,90.947
48.000,90.887
49.000,90.255
50.000,90.259
51.000,91.321
52.000,92.049
53.000,92.425
54.000,94.115
55.000,96.875
56.000,99.124
57.000,100.522
58.000,102.444
59.000,104.197
60.000,104.292
61.000,104.662
62.000,105.132
63.000,103.024
64.000,100.069
65.000,97.595
66.000,93.547
67.000,88.470
68.000,82.685
69.000,74.965
70.000,68.149
71.000,62.788
72.000,54.486
73.000,46.425
74.000,41.542
75.000,35.437
76.000,28.588
77.000,23.847
78.000,20.346
79.000,16.412
80.000,11.081
81.000,5.755
82.000,3.053
83.000,1.796
84.000,0.613
85.000,0.150
86.000,0.050
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
