"type","name","count","units","time_units"
"clip","LT Force curve",100,"N","%"

"time","value"
0.000,32.985
1.000,178.602
2.000,251.437
3.000,309.309
4.000,352.166
5.000,370.187
6.000,396.945
7.000,424.241
8.000,442.751
9.000,461.218
10.000,480.361
11.000,514.209
12.000,552.173
13.000,580.994
14.000,623.537
15.000,664.240
16.000,691.719
17.000,720.768
18.000,744.617
19.000,769.492
20.000,791.274
21.000,801.627
22.000,811.891
23.000,820.049
24.000,820.945
25.000,814.403
26.000,804.681
27.000,794.282
28.000,782.085
29.000,768.322
30.000,745.956
31.000,724.217
32.000,712.205
33.000,696.114
34.000,678.858
35.000,667.744
36.000,657.798
37.000,650.764
38.000,645.295
39.000,640.539
40.000,639.508
41.000,640.542
42.000,641.662
43.000,642.424
44.000,643.143
45.000,643.995
46.000,646.863
47.000,651.123
48.000,654.979
49.000,660.452
50.000,665.477
51.000,669.423
52.000,676.953
53.000,684.754
54.000,690.584
55.000,696.861
56.000,703.137
57.000,713.580
58.000,725.055
59.000,732.405
60.000,742.401
61.000,752.848
62.000,759.348
63.000,765.085
64.000,771.674
65.000,782.839
66.000,794.003
67.000,802.250
68.000,814.348
69.000,824.969
70.000,831.110
71.000,837.297
72.000,842.094
73.000,845.634
74.000,847.605
75.000,846.530
76.000,841.782
77.000,835.914
78.000,828.742
79.000,812.469
80.000,794.446
81.000,778.442
82.000,759.617
83.000,737.471
84.000,694.700
85.000,647.359
86.000,608.941
87.000,542.284
88.000,472.311
89.000,421.253
90.000,367.995
91.000,310.169
92.000,219.672
93.000,132.269
94.000,91.304
95.000,59.172
96.000,33.495
97.000,21.706
98.000,10.943
99.000,5.561
