"type","name","count","units","time_units"
"clip","RT Force curve",100,"N","%"

"time","value"
0.000,32.518
1.000,204.629
2.000,322.555
3.000,383.650
4.000,416.868
5.000,431.415
6.000,440.472
7.000,458.348
8.000,481.271
9.000,505.923
10.000,532.818
11.000,565.481
12.000,610.811
13.000,661.459
14.000,704.848
15.000,745.936
16.000,777.162
17.000,794.585
18.000,811.051
19.000,826.800
20.000,837.206
21.000,842.828
22.000,847.251
23.000,843.308
24.000,833.360
25.000,826.190
26.000,811.340
27.000,790.365
28.000,774.501
29.000,759.772
30.000,742.563
31.000,728.131
32.000,715.703
33.000,702.379
34.000,691.502
35.000,681.012
36.000,668.313
37.000,656.362
38.000,647.189
39.000,639.419
40.000,631.082
41.000,625.167
42.000,621.374
43.000,617.134
44.000,614.565
45.000,614.654
46.000,618.388
47.000,623.646
48.000,627.200
49.000,631.709
50.000,636.906
51.000,642.285
52.000,650.353
53.000,658.062
54.000,666.071
55.000,679.612
56.000,694.136
57.000,704.746
58.000,714.612
59.000,725.849
60.000,738.760
61.000,751.884
62.000,763.754
63.000,774.219
64.000,782.831
65.000,792.727
66.000,803.277
67.000,810.388
68.000,817.950
69.000,829.728
70.000,840.730
71.000,847.695
72.000,853.434
73.000,857.349
74.000,858.664
75.000,857.679
76.000,854.213
77.000,848.416
78.000,837.388
79.000,821.755
80.000,798.713
81.000,769.128
82.000,743.339
83.000,712.230
84.000,673.204
85.000,632.836
86.000,581.711
87.000,526.252
88.000,474.170
89.000,416.736
90.000,354.402
91.000,296.127
92.000,240.476
93.000,181.447
94.000,122.925
95.000,79.405
96.000,55.734
97.000,34.965
98.000,14.823
99.000,7.292
