"type","name","count","units","time_units"
"clip","RT Butterfly, right",280,"N","s"

"time","value"
0.010,17.571
0.020,160.652
0.030,294.768
0.040,275.762
0.050,246.716
0.060,241.337
0.070,252.812
0.080,285.086
0.090,331.345
0.100,398.762
0.110,464.744
0.120,511.362
0.130,547.939
0.140,576.985
0.150,610.335
0.160,645.119
0.170,679.186
0.180,713.253
0.190,736.203
0.200,746.961
0.210,749.471
0.220,749.113
0.230,744.092
0.240,739.430
0.250,736.203
0.260,727.597
0.270,715.404
0.280,698.909
0.290,680.620
0.300,664.842
0.310,650.498
0.320,637.230
0.330,626.472
0.340,622.886
0.350,627.906
0.360,627.548
0.370,632.927
0.380,637.947
0.390,650.498
0.400,662.690
0.410,676.676
0.420,691.737
0.430,706.439
0.440,722.218
0.450,738.355
0.460,756.643
0.470,773.139
0.480,795.013
0.490,808.999
0.500,824.418
0.510,846.651
0.520,877.849
0.530,900.083
0.540,915.502
0.550,930.563
0.560,938.453
0.570,934.508
0.580,926.977
0.590,907.613
0.600,880.718
0.610,851.672
0.620,804.337
0.630,745.885
0.640,672.731
0.650,588.102
0.660,493.432
0.670,393.741
0.680,284.727
0.690,156.708
0.700,81.402
0.710,41.956
0.720,4.303
1.100,67.417
1.110,280.066
1.120,399.120
1.130,456.855
1.140,469.047
1.150,496.301
1.160,552.959
1.170,581.288
1.180,627.548
1.190,691.737
1.200,760.588
1.210,821.908
1.220,857.409
1.230,872.112
1.240,878.208
1.250,867.450
1.260,840.197
1.270,809.357
1.280,775.649
1.290,742.299
1.300,714.328
1.310,684.565
1.320,661.973
1.330,636.871
1.340,619.300
1.350,602.446
1.360,590.253
1.370,590.612
1.380,588.102
1.390,595.274
1.400,609.259
1.410,625.037
1.420,639.023
1.430,653.725
1.440,668.069
1.450,686.358
1.460,707.874
1.470,729.390
1.480,749.113
1.490,776.366
1.500,802.544
1.510,825.135
1.520,844.141
1.530,867.091
1.540,877.132
1.550,883.946
1.560,895.062
1.570,897.572
1.580,896.138
1.590,895.421
1.600,881.435
1.610,864.940
1.620,831.949
1.630,780.311
1.640,731.900
1.650,668.069
1.660,594.198
1.670,508.493
1.680,410.237
1.690,294.051
1.700,186.471
1.710,116.186
1.720,71.720
1.730,34.784
1.740,1.434
2.110,12.551
2.120,223.766
2.130,454.344
2.140,546.146
2.150,593.839
2.160,642.967
2.170,686.358
2.180,721.142
2.190,782.462
2.200,861.354
2.210,937.377
2.220,981.484
2.230,1000.849
2.240,1008.738
2.250,1009.097
2.260,994.753
2.270,964.630
2.280,924.109
2.290,880.001
2.300,838.404
2.310,796.448
2.320,762.022
2.330,728.672
2.340,702.853
2.350,684.565
2.360,665.559
2.370,652.291
2.380,642.250
2.390,632.209
2.400,627.189
2.410,621.451
2.420,622.169
2.430,619.300
2.440,624.679
2.450,627.906
2.460,627.906
2.470,635.437
2.480,640.099
2.490,653.367
2.500,669.504
2.510,689.585
2.520,703.212
2.530,717.556
2.540,730.465
2.550,729.031
2.560,734.769
2.570,742.299
2.580,747.678
2.590,757.719
2.600,765.967
2.610,765.967
2.620,763.098
2.630,753.416
2.640,738.355
2.650,714.328
2.660,674.524
2.670,628.623
2.680,574.834
2.690,521.402
2.700,459.723
2.710,395.534
2.720,328.835
2.730,263.570
2.740,200.457
2.750,145.232
2.760,86.422
2.770,57.017
2.780,35.501
2.790,16.137
