"type","name","count","units","time_units"
"clip","LT Butterfly",280,"N","s"

"time","value"
0.600,935.942
0.610,1173.693
0.620,1134.247
0.630,1107.353
0.640,1065.038
0.650,1025.233
0.660,973.237
0.670,915.502
0.680,874.981
0.690,811.150
0.700,792.503
0.710,808.281
0.720,802.902
0.730,818.681
0.740,827.287
0.750,828.721
0.760,814.377
0.770,788.200
0.780,757.002
0.790,718.632
0.800,688.868
0.810,661.973
0.820,634.720
0.830,616.790
0.840,609.259
0.850,605.673
0.860,617.507
0.870,627.189
0.880,637.230
0.890,645.836
0.900,662.332
0.910,673.807
0.920,682.772
0.930,693.171
0.940,705.005
0.950,713.253
0.960,721.142
0.970,735.844
0.980,749.471
0.990,763.098
1.000,776.007
1.010,795.013
1.020,812.943
1.030,833.383
1.040,849.162
1.050,865.657
1.060,878.567
1.070,885.380
1.080,881.435
1.090,871.395
1.100,919.805
1.110,1107.711
1.120,1185.886
1.130,1187.320
1.140,1124.565
1.150,1061.452
1.160,1016.986
1.170,931.998
1.180,837.686
1.190,771.346
1.200,805.054
1.210,841.272
1.220,860.278
1.230,872.112
1.240,878.208
1.250,867.450
1.260,840.197
1.270,809.357
1.280,775.649
1.290,742.299
1.300,714.328
1.310,684.565
1.320,661.973
1.330,636.871
1.340,619.300
1.350,602.446
1.360,590.253
1.370,590.612
1.380,588.102
1.390,595.274
1.400,609.259
1.410,625.037
1.420,639.023
1.430,653.725
1.440,668.069
1.450,686.358
1.460,707.874
1.470,729.390
1.480,749.113
1.490,776.366
1.500,802.544
1.510,825.135
1.520,844.141
1.530,867.091
1.540,877.132
1.550,883.946
1.560,895.062
1.570,897.572
1.580,896.138
1.590,895.421
1.600,892.193
1.610,997.263
1.620,1150.743
1.630,1141.778
1.640,1132.454
1.650,1098.029
1.660,1055.356
1.670,1006.945
1.680,952.438
1.690,890.400
1.700,829.797
1.710,820.474
1.720,818.322
1.730,811.150
1.740,802.185
1.750,815.453
1.760,820.832
1.770,812.585
1.780,795.013
1.790,772.063
1.800,745.527
1.810,732.617
1.820,710.742
1.830,688.868
1.840,679.903
1.850,672.731
1.860,663.407
1.870,656.953
1.880,649.781
1.890,645.119
1.900,643.685
1.910,647.988
1.920,651.215
1.930,660.180
1.940,669.862
1.950,686.716
1.960,703.929
1.970,722.576
1.980,734.410
1.990,749.830
2.000,759.871
2.010,770.628
2.020,782.462
2.030,798.241
2.040,806.847
2.050,815.095
2.060,815.812
2.070,810.074
2.080,804.337
2.090,795.730
2.100,776.007
2.110,760.588
2.120,937.377
2.130,1122.414
2.140,1150.743
2.150,1119.904
2.160,1074.720
2.170,1018.420
2.180,944.190
2.190,911.199
2.200,922.316
2.210,972.161
2.220,989.732
