"type","name","count","units","time_units"
"clip2d","LT Butterfly, left",223,"mm","s"

"time","X","Y"
0.600,4.070,-115.252
0.610,4.655,-113.347
0.620,5.138,-109.223
0.630,4.660,-104.791
0.640,3.383,-101.835
0.650,2.377,-100.932
0.660,1.365,-97.764
0.670,-0.009,-92.231
0.680,-2.261,-85.670
0.690,-3.257,-81.828
0.700,-3.661,-78.645
0.710,-4.111,-75.487
0.720,-4.125,-73.194
0.730,-3.704,-71.436
0.740,-3.229,-70.705
0.750,-2.997,-70.099
0.760,-2.658,-69.788
0.770,-2.388,-69.596
0.780,-2.150,-68.888
0.790,-1.994,-67.777
0.800,-2.042,-65.947
0.810,-2.047,-63.608
0.820,-2.015,-60.563
0.830,-1.911,-56.694
0.840,-1.599,-52.353
0.850,-1.317,-48.511
0.860,-1.075,-42.665
0.870,-1.030,-36.666
0.880,-0.855,-30.112
0.890,-0.924,-22.767
0.900,-1.070,-14.827
0.910,-1.049,-7.975
0.920,-0.956,-0.756
0.930,-0.817,5.335
0.940,-0.643,12.435
0.950,-0.486,19.278
0.960,-0.592,26.470
0.970,-0.551,33.404
0.980,-0.556,40.462
0.990,-0.167,47.137
1.000,-0.018,53.110
1.010,0.563,57.846
1.020,1.343,60.825
1.030,2.263,63.036
1.040,3.086,64.597
1.050,3.612,65.644
1.060,4.243,66.979
1.070,4.661,68.039
1.080,5.039,69.058
1.090,5.290,70.204
1.100,5.568,71.395
1.110,5.630,72.844
1.120,6.052,74.311
1.130,6.642,76.206
1.140,7.619,78.503
1.150,8.804,81.045
1.160,10.256,83.214
1.170,11.281,85.170
1.180,11.377,87.752
1.190,14.470,100.238
1.200,17.007,113.014
1.210,17.753,119.569
1.220,-3.719,127.866
1.600,1.973,-122.635
1.610,3.463,-118.428
1.620,3.662,-116.065
1.630,3.316,-112.228
1.640,2.499,-108.463
1.650,1.541,-106.384
1.660,-0.027,-102.611
1.670,-2.049,-95.350
1.680,-4.507,-87.426
1.690,-5.906,-82.620
1.700,-6.438,-78.744
1.710,-6.666,-74.664
1.720,-6.136,-71.541
1.730,-5.885,-67.732
1.740,-5.542,-64.048
1.750,-5.316,-60.812
1.760,-5.095,-57.967
1.770,-5.012,-54.012
1.780,-5.246,-48.794
1.790,-5.531,-42.746
1.800,-6.086,-36.061
1.810,-6.486,-28.501
1.820,-7.102,-21.266
1.830,-7.662,-13.567
1.840,-8.349,-5.766
1.850,-8.838,1.590
1.860,-9.045,8.666
1.870,-9.437,15.652
1.880,-9.705,21.880
1.890,-9.787,27.671
1.900,-9.619,32.162
1.910,-9.256,37.108
1.920,-8.918,41.576
1.930,-8.329,45.333
1.940,-7.763,48.771
1.950,-6.844,50.835
1.960,-6.003,52.554
1.970,-5.342,53.995
1.980,-4.636,55.501
1.990,-4.120,56.984
2.000,-3.521,58.363
2.010,-2.746,59.891
2.020,-2.154,61.335
2.030,-1.598,62.365
2.040,-1.222,63.311
2.050,-0.942,64.196
2.060,-0.587,65.323
2.070,-0.344,66.227
2.080,-0.266,67.326
2.090,-0.281,68.557
2.100,-0.276,70.007
2.110,-0.385,71.438
2.120,-0.488,73.104
2.130,-0.430,74.726
2.140,-0.144,76.647
2.150,0.699,78.684
2.160,0.963,80.101
2.170,2.394,82.144
2.180,4.996,86.475
2.190,9.319,93.759
2.200,16.827,111.005
2.210,15.187,117.493
2.220,5.853,124.619
