"type","name","count","units","time_units"
"clip2d","RT Butterfly, right",280,"mm","s"

"time","X","Y"
0.010,-2.850,-121.975
0.020,-5.043,-119.992
0.030,-5.857,-118.627
0.040,-5.505,-116.520
0.050,-5.138,-114.112
0.060,-4.385,-111.593
0.070,-3.853,-109.512
0.080,-3.017,-107.779
0.090,-2.208,-105.754
0.100,-0.781,-101.384
0.110,0.654,-96.142
0.120,1.783,-91.647
0.130,2.531,-88.658
0.140,2.698,-87.136
0.150,2.836,-85.994
0.160,2.657,-84.401
0.170,2.443,-83.552
0.180,2.352,-82.106
0.190,2.334,-80.769
0.200,2.704,-79.189
0.210,3.073,-77.990
0.220,3.395,-77.126
0.230,3.631,-76.373
0.240,3.829,-75.324
0.250,4.089,-74.086
0.260,4.293,-73.189
0.270,4.461,-72.495
0.280,4.725,-71.702
0.290,4.954,-70.648
0.300,5.313,-69.324
0.310,5.748,-67.413
0.320,6.002,-65.417
0.330,6.228,-62.710
0.340,6.199,-60.462
0.350,6.058,-57.624
0.360,5.901,-55.423
0.370,5.984,-52.734
0.380,6.084,-49.645
0.390,6.084,-44.860
0.400,6.248,-39.692
0.410,6.428,-33.587
0.420,6.833,-26.975
0.430,7.012,-19.538
0.440,7.135,-10.611
0.450,7.009,-0.858
0.460,6.754,9.435
0.470,6.338,18.430
0.480,5.769,27.091
0.490,5.252,34.987
0.500,4.403,41.877
0.510,3.596,47.129
0.520,2.571,50.287
0.530,1.336,53.471
0.540,0.505,56.068
0.550,-0.476,58.526
0.560,-1.145,60.375
0.570,-2.046,62.357
0.580,-2.903,64.316
0.590,-3.915,66.425
0.600,-4.954,68.288
0.610,-5.916,70.370
0.620,-7.313,72.553
0.630,-8.830,74.827
0.640,-10.353,77.250
0.650,-12.053,79.827
0.660,-13.807,82.392
0.670,-15.050,84.235
0.680,-16.045,87.622
0.690,-20.533,97.701
0.700,-26.945,111.225
0.710,-25.787,116.921
0.720,-30.867,119.826
1.100,-5.366,-120.849
1.110,-11.040,-111.462
1.120,-9.508,-110.579
1.130,-8.436,-107.579
1.140,-7.278,-104.680
1.150,-5.534,-102.082
1.160,-3.685,-97.294
1.170,-2.261,-92.236
1.180,-1.275,-88.766
1.190,-0.430,-85.180
1.200,0.225,-82.300
1.210,0.690,-79.201
1.220,0.810,-75.871
1.230,0.751,-72.604
1.240,0.834,-68.709
1.250,0.795,-65.630
1.260,0.622,-62.373
1.270,0.680,-58.906
1.280,0.590,-54.768
1.290,0.578,-49.925
1.300,0.544,-44.507
1.310,0.499,-39.090
1.320,0.306,-33.178
1.330,0.398,-27.351
1.340,0.691,-21.239
1.350,0.719,-15.301
1.360,0.797,-9.165
1.370,0.851,-3.331
1.380,1.084,3.255
1.390,1.346,8.728
1.400,1.245,14.651
1.410,1.340,20.560
1.420,1.210,26.034
1.430,0.927,30.036
1.440,0.507,34.003
1.450,0.100,37.665
1.460,-0.356,41.764
1.470,-0.847,45.667
1.480,-1.227,49.002
1.490,-1.656,51.415
1.500,-2.271,53.171
1.510,-2.773,55.015
1.520,-3.253,57.056
1.530,-3.743,58.850
1.540,-4.049,60.663
1.550,-4.460,62.275
1.560,-4.735,63.629
1.570,-5.019,64.932
1.580,-5.313,66.368
1.590,-5.717,67.892
1.600,-6.303,69.339
1.610,-7.004,71.093
1.620,-7.931,73.187
1.630,-7.625,76.413
1.640,-8.603,78.452
1.650,-9.776,80.525
1.660,-11.197,83.107
1.670,-12.394,85.907
1.680,-13.356,88.042
1.690,-14.776,91.900
1.700,-18.078,99.352
1.710,-21.748,107.114
1.720,-21.710,112.231
1.730,-22.216,118.075
1.740,-32.196,103.385
2.110,-6.632,-121.681
2.120,-7.537,-117.984
2.130,-8.145,-114.290
2.140,-7.241,-109.578
2.150,-5.853,-105.871
2.160,-3.231,-99.845
2.170,-0.346,-90.217
2.180,2.039,-82.141
2.190,3.764,-74.873
2.200,4.275,-67.326
2.210,4.338,-59.269
2.220,4.176,-52.262
2.230,4.217,-44.508
2.240,4.012,-36.173
2.250,4.086,-29.010
2.260,4.088,-21.720
2.270,4.227,-14.593
2.280,4.332,-7.156
2.290,4.279,0.306
2.300,4.292,8.308
2.310,4.355,16.602
2.320,4.082,24.879
2.330,3.815,31.888
2.340,3.346,38.549
2.350,2.581,44.488
2.360,2.074,49.125
2.370,1.337,52.441
2.380,0.612,55.210
2.390,-0.171,56.692
2.400,-0.793,57.908
2.410,-1.524,59.284
2.420,-2.140,60.505
2.430,-2.752,61.557
2.440,-3.220,62.261
2.450,-3.732,63.279
2.460,-4.114,63.830
2.470,-4.460,64.517
2.480,-4.813,65.087
2.490,-5.067,65.582
2.500,-5.341,65.833
2.510,-5.387,65.975
2.520,-5.672,66.381
2.530,-5.911,66.733
2.540,-6.126,67.367
2.550,-6.413,67.765
2.560,-6.502,68.695
2.570,-6.744,69.422
2.580,-7.069,70.343
2.590,-7.167,71.129
2.600,-7.054,71.902
2.610,-7.070,72.499
2.620,-6.761,73.002
2.630,-6.540,73.519
2.640,-5.918,73.995
2.650,-5.861,74.749
2.660,-6.378,76.020
2.670,-7.215,77.811
2.680,-8.526,79.801
2.690,-10.327,82.234
2.700,-12.178,84.603
2.710,-13.728,86.635
2.720,-15.788,89.015
2.730,-17.418,91.646
2.740,-19.316,95.319
2.750,-21.630,99.554
2.760,-26.295,109.601
2.770,-27.450,112.186
2.780,-29.533,115.790
2.790,-28.928,119.178
