"type","name","count","units","time_units"
"clip2d","LT Butterfly",280,"mm","s"

"time","X","Y"
0.600,130.027,206.191
0.610,65.774,168.697
0.620,60.069,168.414
0.630,48.492,164.927
0.640,34.843,160.016
0.650,16.547,151.489
0.660,-4.193,142.307
0.670,-27.794,132.397
0.680,-59.975,119.453
0.690,-100.133,101.588
0.700,-127.175,89.590
0.710,-141.848,83.233
0.720,-155.072,76.573
0.730,-156.141,77.297
0.740,-155.667,78.027
0.750,-155.435,78.634
0.760,-155.096,78.944
0.770,-154.825,79.136
0.780,-154.588,79.845
0.790,-154.432,80.955
0.800,-154.479,82.785
0.810,-154.485,85.125
0.820,-154.452,88.170
0.830,-154.348,92.038
0.840,-154.036,96.379
0.850,-153.755,100.221
0.860,-153.512,106.067
0.870,-153.468,112.066
0.880,-153.293,118.620
0.890,-153.361,125.966
0.900,-153.508,133.906
0.910,-153.486,140.757
0.920,-153.393,147.977
0.930,-153.255,154.068
0.940,-153.081,161.167
0.950,-152.923,168.011
0.960,-153.030,175.203
0.970,-152.988,182.137
0.980,-152.994,189.195
0.990,-152.604,195.869
1.000,-152.456,201.842
1.010,-151.874,206.578
1.020,-151.094,209.558
1.030,-150.175,211.769
1.040,-149.352,213.329
1.050,-148.825,214.377
1.060,-148.195,215.711
1.070,-147.777,216.772
1.080,-147.398,217.791
1.090,-147.147,218.937
1.100,-125.325,206.037
1.110,-73.940,174.978
1.120,-49.014,160.817
1.130,-34.288,154.222
1.140,-23.871,150.831
1.150,-7.788,144.153
1.160,16.006,133.800
1.170,40.548,123.254
1.180,77.856,104.247
1.190,122.079,82.689
1.200,136.750,77.220
1.210,146.503,74.106
1.220,152.215,73.541
1.230,153.188,76.129
1.240,153.272,80.023
1.250,153.232,83.102
1.260,153.059,86.359
1.270,153.117,89.826
1.280,153.028,93.965
1.290,153.016,98.808
1.300,152.981,104.226
1.310,152.937,109.643
1.320,152.743,115.555
1.330,152.836,121.382
1.340,153.128,127.493
1.350,153.157,133.432
1.360,153.234,139.567
1.370,153.288,145.401
1.380,153.522,151.988
1.390,153.784,157.460
1.400,153.682,163.383
1.410,153.777,169.292
1.420,153.647,174.767
1.430,153.364,178.769
1.440,152.945,182.736
1.450,152.537,186.397
1.460,152.081,190.497
1.470,151.591,194.399
1.480,151.211,197.735
1.490,150.781,200.147
1.500,150.166,201.904
1.510,149.664,203.748
1.520,149.184,205.788
1.530,148.694,207.583
1.540,148.388,209.396
1.550,147.977,211.007
1.560,147.703,212.362
1.570,147.419,213.665
1.580,147.124,215.101
1.590,146.720,216.625
1.600,142.558,215.757
1.610,106.370,194.679
1.620,63.258,169.490
1.630,51.758,165.425
1.640,39.925,161.072
1.650,27.711,156.069
1.660,12.900,150.686
1.670,-5.753,144.915
1.680,-29.439,136.884
1.690,-60.589,123.747
1.700,-92.980,110.010
1.710,-118.067,99.810
1.720,-133.219,93.298
1.730,-145.949,88.969
1.740,-157.482,84.984
1.750,-157.753,87.921
1.760,-157.533,90.766
1.770,-157.449,94.720
1.780,-157.683,99.938
1.790,-157.968,105.987
1.800,-158.524,112.671
1.810,-158.924,120.232
1.820,-159.539,127.467
1.830,-160.100,135.166
1.840,-160.786,142.966
1.850,-161.275,150.322
1.860,-161.482,157.399
1.870,-161.875,164.384
1.880,-162.143,170.612
1.890,-162.224,176.404
1.900,-162.057,180.894
1.910,-161.693,185.840
1.920,-161.355,190.308
1.930,-160.766,194.065
1.940,-160.200,197.503
1.950,-159.282,199.567
1.960,-158.440,201.286
1.970,-157.780,202.727
1.980,-157.074,204.233
1.990,-156.558,205.716
2.000,-155.959,207.095
2.010,-155.183,208.623
2.020,-154.591,210.067
2.030,-154.035,211.098
2.040,-153.660,212.044
2.050,-153.380,212.929
2.060,-153.024,214.055
2.070,-152.781,214.959
2.080,-152.703,216.058
2.090,-152.719,217.289
2.100,-152.713,218.740
2.110,-147.895,216.984
2.120,-81.830,176.221
2.130,-32.579,146.946
2.140,-11.256,136.997
2.150,6.450,129.554
2.160,28.412,121.178
2.170,53.579,114.715
2.180,83.154,106.424
2.190,113.913,97.684
2.200,137.391,93.194
2.210,146.256,95.788
2.220,154.087,97.944
