"type","name","count","units","time_units"
"clip","LT Pressure plots, Stance, Force curve",50,"N","s"

"time","value"
0.000,32.991
0.010,202.922
0.020,313.707
0.030,378.949
0.040,429.131
0.050,471.154
0.060,521.627
0.070,594.736
0.080,671.386
0.090,730.107
0.100,771.570
0.110,801.558
0.120,816.888
0.130,814.422
0.140,794.767
0.150,759.736
0.160,723.092
0.170,696.130
0.180,672.866
0.190,652.336
0.200,641.892
0.210,640.547
0.220,642.273
0.230,646.015
0.240,652.851
0.250,661.659
0.260,673.000
0.270,686.672
0.280,699.985
0.290,715.158
0.300,735.038
0.310,754.111
0.320,768.791
0.330,785.084
0.340,806.085
0.350,825.785
0.360,838.986
0.370,845.015
0.380,842.841
0.390,831.657
0.400,812.450
0.410,778.652
0.420,716.839
0.430,632.613
0.440,542.291
0.450,430.094
0.460,277.511
0.470,135.012
0.480,56.479
0.490,16.316
