"type","name","count","units","time_units"
"clip","RT Pressure plots, Stance, Force curve",50,"N","s"

"time","value"
0.000,32.513
0.010,217.595
0.020,361.438
0.030,431.499
0.040,468.165
0.050,518.489
0.060,591.792
0.070,676.422
0.080,747.140
0.090,795.895
0.100,826.734
0.110,842.244
0.120,841.183
0.130,820.474
0.140,788.633
0.150,755.612
0.160,725.355
0.170,700.253
0.180,677.497
0.190,655.234
0.200,636.946
0.210,624.021
0.220,616.625
0.230,617.552
0.240,625.052
0.250,633.972
0.260,645.328
0.270,661.883
0.280,683.579
0.290,708.636
0.300,733.797
0.310,756.434
0.320,776.172
0.330,794.744
0.340,812.614
0.350,830.559
0.360,847.130
0.370,857.006
0.380,856.289
0.390,839.599
0.400,805.935
0.410,761.230
0.420,701.583
0.430,617.253
0.440,513.947
0.450,400.585
0.460,278.019
0.470,162.505
0.480,78.339
0.490,22.353
