"type","name","count","units","time_units"
"clip2d","LT Pressure plots, Stance, Gait line",50,"mm","s"

"time","X","Y"
0.000,9.859,-118.573
0.010,10.542,-115.425
0.020,10.517,-111.581
0.030,9.500,-107.121
0.040,7.968,-103.296
0.050,6.287,-99.259
0.060,4.011,-92.962
0.070,1.403,-85.375
0.080,-0.303,-79.361
0.090,-0.899,-75.480
0.100,-0.906,-72.244
0.110,-0.657,-68.847
0.120,-0.402,-65.949
0.130,-0.228,-63.872
0.140,-0.229,-61.249
0.150,-0.536,-56.853
0.160,-1.075,-51.425
0.170,-1.635,-46.177
0.180,-2.257,-40.191
0.190,-2.992,-32.367
0.200,-3.634,-24.253
0.210,-4.122,-17.257
0.220,-4.644,-9.995
0.230,-5.244,-1.180
0.240,-5.728,7.450
0.250,-5.965,14.849
0.260,-6.016,22.419
0.270,-5.913,29.492
0.280,-5.718,34.786
0.290,-5.552,39.727
0.300,-5.377,45.580
0.310,-5.162,51.212
0.320,-4.889,55.411
0.330,-4.380,58.686
0.340,-3.605,61.545
0.350,-2.874,63.620
0.360,-2.383,64.957
0.370,-1.997,66.216
0.380,-1.680,67.730
0.390,-1.508,69.309
0.400,-1.469,70.764
0.410,-1.460,72.428
0.420,-1.242,74.775
0.430,-0.666,77.490
0.440,0.117,79.879
0.450,1.135,82.343
0.460,3.093,87.680
0.470,6.406,98.380
0.480,7.225,111.451
0.490,1.713,122.689
