"type","name","count","units","time_units"
"clip2d","RT Pressure plots, Stance, Gait line",50,"mm","s"

"time","X","Y"
0.000,-19.321,-120.058
0.010,-20.898,-115.291
0.020,-20.697,-111.308
0.030,-18.971,-107.240
0.040,-16.452,-102.298
0.050,-13.494,-96.072
0.060,-10.636,-88.845
0.070,-8.424,-81.610
0.080,-6.936,-75.290
0.090,-5.875,-69.568
0.100,-5.067,-63.743
0.110,-4.461,-58.411
0.120,-3.897,-53.508
0.130,-3.175,-47.867
0.140,-2.307,-41.593
0.150,-1.456,-35.205
0.160,-0.731,-28.877
0.170,-0.183,-23.146
0.180,0.271,-17.910
0.190,0.743,-12.878
0.200,1.172,-8.437
0.210,1.506,-4.574
0.220,1.821,-0.573
0.230,2.131,3.882
0.240,2.385,8.228
0.250,2.563,11.947
0.260,2.702,15.636
0.270,2.905,19.911
0.280,3.253,24.647
0.290,3.707,29.869
0.300,4.131,35.505
0.310,4.430,41.217
0.320,4.602,46.505
0.330,4.660,51.281
0.340,4.613,55.866
0.350,4.436,59.763
0.360,4.163,62.673
0.370,3.886,65.006
0.380,3.618,67.053
0.390,3.233,69.216
0.400,2.707,71.736
0.410,2.065,74.400
0.420,0.969,77.289
0.430,-0.675,80.736
0.440,-2.457,84.460
0.450,-4.186,88.433
0.460,-6.295,94.372
0.470,-9.041,103.429
0.480,-11.839,112.382
0.490,-14.357,118.064
