Frame, PELVIS,,, SPINE_NAVAL,,, SPINE_CHEST,,,NECK,,, CLAVICLE_LEFT,,, SHOULDER_LEFT,,,ELBOW_LEFT,,,WRIST_LEFT,,,HAND_LEFT,,,HANDTIP_LEFT,,,THUMB_LEFT,,,CLAVICLE_RIGHT,,,SHOULDER_RIGHT,,,ELBOW_RIGHT,,,WRIST_RIGHT,,,HAND_RIGHT,,,HANDTIP_RIGHT,,,THUMB_RIGHT,,,HIP_LEFT,,,KNEE_LEFT,,,ANKLE_LEFT,,,FOOT_LEFT,,,HIP_RIGHT,,,KNEE_RIGHT,,,ANKLE_RIGHT,,,FOOT_RIGHT,,,HEAD,,,NOSE,,,EYE_LEFT,,,EAR_LEFT,,,EYE_RIGHT,,,EAR_RIGHT,,,Hour, Minute, Second, Millisecond, FootSwitch
0, -333.137085, -770.281799, 4287.680664, -323.158295, -944.197144, 4227.273926, -315.346252, -1087.173462, 4192.291504, -316.466003, -1306.384277, 4144.454102, -281.444855, -1270.804321, 4153.031738, -143.099625, -1219.867310, 4162.645020, -55.641621, -970.222839, 4270.310547, -55.259560, -740.200867, 4202.886230, -108.364868, -661.668274, 4233.150391, -180.112747, -583.804993, 4268.647461, -135.876617, -628.168701, 4233.143555, -350.985016, -1269.986206, 4153.803711, -477.436951, -1222.465454, 4168.768066, -586.829529, -967.950562, 4257.840820, -610.630493, -743.107971, 4169.526367, -583.028687, -643.332886, 4197.174805, -541.336182, -562.344910, 4258.421387, -537.486206, -641.007507, 4226.026855, -239.045288, -765.754822, 4290.190918, -280.157532, -369.036774, 4400.199219, -321.964539, -28.362692, 4596.508789, -268.366638, 129.353424, 4497.828613, -417.983826, -774.363953, 4285.416992, -456.140167, -370.584503, 4364.886230, -464.877655, -13.519138, 4543.991699, -531.743652, 126.666901, 4456.770020, -316.996826, -1384.789673, 4113.160645, -219.744263, -1340.939697, 3985.890625, -197.013062, -1376.555786, 4025.398682, -217.277679, -1399.286377, 4152.826172, -232.749725, -1392.749756, 3988.246582, -330.475952, -1468.115845, 4043.964844, 15, 31, 2, 228, 0,
1, -326.629120, -778.226196, 4269.631836, -317.457428, -950.004944, 4221.127441, -310.040833, -1087.013306, 4181.249023, -302.347076, -1301.630249, 4146.796387, -336.917603, -1266.757690, 4146.833496, -475.166687, -1229.597778, 4142.799805, -575.815918, -977.583191, 4197.590332, -562.483643, -766.407043, 4293.599121, -541.915894, -676.649475, 4264.847168, -479.957489, -592.850708, 4235.567871, -496.682983, -676.022156, 4227.593750, -270.151581, -1265.241211, 4156.072266, -147.269760, -1225.306274, 4181.827637, -73.461670, -964.892761, 4261.251953, -124.627495, -766.176819, 4376.405762, -131.867935, -681.334473, 4316.922852, -84.997070, -627.719360, 4237.864258, -154.389069, -731.488586, 4239.187988, -417.609558, -780.898804, 4261.893555, -447.799286, -402.252350, 4390.611816, -467.959503, -33.815472, 4494.352539, -492.826782, 128.458328, 4585.307617, -244.588074, -775.816162, 4276.609863, -272.823151, -401.769501, 4417.317871, -293.898163, -30.411602, 4525.348633, -314.251404, 117.826584, 4611.535645, -301.260406, -1383.458130, 4147.146484, -259.338165, -1449.714233, 4287.745117, -268.800262, -1484.585571, 4244.864258, -339.618347, -1480.876587, 4139.504395, -225.298462, -1455.723389, 4249.122070, -196.805130, -1395.908936, 4135.810547, 15, 31, 2, 261, 0,
2, -349.416901, -768.441528, 4288.255859, -335.238525, -941.766785, 4228.890137, -323.757233, -1083.250610, 4191.051758, -308.419159, -1302.508789, 4149.872070, -276.590973, -1265.112671, 4161.588379, -137.703156, -1218.543823, 4176.467773, -92.323357, -955.610046, 4275.575195, -85.852921, -717.982300, 4251.872559, -153.998367, -647.898682, 4268.649902, -220.525589, -559.032166, 4260.670898, -169.817566, -616.481567, 4257.688965, -345.422974, -1267.854736, 4153.888672, -474.063812, -1235.323486, 4126.658203, -582.924744, -982.510071, 4218.007813, -574.528137, -742.520691, 4188.695801, -579.004761, -636.395996, 4199.732422, -563.893860, -550.431091, 4265.681152, -544.147888, -617.539673, 4235.356445, -255.793518, -761.061951, 4289.070313, -261.477325, -363.527283, 4398.442383, -269.827209, -21.489979, 4593.981445, -264.885132, 136.986374, 4484.007813, -433.841248, -775.096069, 4287.521484, -476.617828, -371.804871, 4359.557129, -486.999786, -16.614706, 4539.311035, -552.051086, 126.019417, 4455.994629, -301.322540, -1381.255859, 4121.103516, -244.827408, -1336.474243, 3972.118652, -216.720642, -1378.887817, 3999.225342, -198.210831, -1413.018921, 4123.894043, -264.496826, -1385.893311, 3975.384033, -349.529022, -1453.420776, 4055.518066, 15, 31, 2, 306, 0,
3, -350.340088, -767.438965, 4288.754883, -334.326385, -940.887939, 4229.114746, -321.468140, -1082.982300, 4192.937500, -307.152496, -1302.131348, 4148.575195, -275.119629, -1265.039185, 4161.094727, -135.810974, -1219.636963, 4178.291992, -92.718796, -956.638672, 4279.805176, -85.390419, -718.756226, 4254.304688, -153.218185, -648.212708, 4271.573242, -219.621017, -558.955078, 4263.918457, -171.518127, -618.165222, 4258.261230, -344.041656, -1267.239990, 4152.836914, -473.327759, -1235.558228, 4126.363770, -583.436340, -984.851501, 4223.619629, -574.198059, -744.957642, 4190.193848, -578.656799, -639.900940, 4209.986816, -564.637512, -548.555664, 4268.923340, -543.764282, -620.832642, 4235.152832, -256.600555, -759.446899, 4290.681641, -258.969086, -361.397766, 4401.313965, -270.500519, -19.737661, 4598.880859, -263.037231, 138.855438, 4488.562012, -434.869171, -774.645691, 4287.017578, -476.793365, -370.865021, 4361.344238, -491.281921, -12.884587, 4536.942383, -548.609863, 128.010712, 4444.735352, -300.316345, -1380.644409, 4118.649902, -226.340347, -1338.102661, 3976.461426, -204.204391, -1383.022583, 4005.250000, -200.439041, -1420.342773, 4130.584961, -249.930756, -1386.000610, 3976.762207, -347.325104, -1448.071655, 4047.076660, 15, 31, 2, 340, 0,
4, -349.543884, -763.497925, 4288.958008, -334.006714, -935.688538, 4227.937988, -321.487823, -1076.517578, 4189.283203, -305.031982, -1296.080811, 4153.220703, -273.582764, -1258.476074, 4164.800293, -137.956467, -1206.147461, 4185.994629, -96.932678, -941.009155, 4279.099121, -87.319435, -703.812256, 4257.697754, -153.543976, -632.275635, 4274.708984, -218.207382, -542.291504, 4267.474121, -168.645538, -600.584839, 4263.986816, -342.071777, -1261.488403, 4155.683105, -472.324005, -1237.062256, 4129.166992, -584.562195, -986.733459, 4221.190430, -576.003540, -746.449646, 4199.960938, -578.797668, -640.479248, 4210.696777, -562.776306, -545.002197, 4261.104980, -543.690857, -620.035522, 4233.951172, -256.183075, -755.627869, 4290.521484, -259.598022, -358.677673, 4398.592773, -270.519928, -19.358099, 4596.926758, -263.088165, 137.488968, 4485.531738, -433.731445, -770.594727, 4287.547852, -476.043304, -368.569733, 4361.588867, -491.181488, -12.513399, 4537.252441, -550.041809, 128.459732, 4447.600586, -297.233368, -1375.232178, 4126.362305, -245.235550, -1327.595459, 3977.041260, -225.124664, -1377.619995, 3997.085449, -204.154480, -1428.238892, 4115.283691, -275.005035, -1371.638306, 3978.029541, -365.579346, -1427.715820, 4060.378174, 15, 31, 2, 371, 0,
5, -349.247223, -763.745300, 4289.195801, -333.607971, -935.660034, 4228.056641, -321.021423, -1076.246460, 4189.178711, -304.600189, -1295.443115, 4152.458008, -273.203156, -1257.941895, 4164.262207, -137.736984, -1206.036377, 4186.334961, -96.688011, -941.655396, 4280.582031, -86.860023, -704.779419, 4258.770508, -153.164749, -633.482239, 4275.814453, -218.072479, -543.783447, 4269.205566, -169.608963, -602.558350, 4263.910156, -341.583679, -1260.875000, 4154.909668, -471.631836, -1236.373535, 4128.251465, -584.059021, -987.238770, 4222.220215, -576.621460, -746.968994, 4203.733398, -579.384155, -641.536682, 4217.986816, -563.207092, -546.425232, 4268.764160, -543.617310, -620.553345, 4235.673340, -255.997421, -755.866943, 4290.895996, -259.507813, -359.829895, 4400.506836, -271.281403, -21.850317, 4600.181641, -263.162933, 131.874405, 4484.930176, -433.334656, -770.849609, 4287.663086, -475.686737, -369.347565, 4361.901855, -491.170227, -14.277190, 4538.498047, -549.821228, 127.977180, 4451.163574, -296.768402, -1374.415894, 4125.385254, -244.381256, -1327.043823, 3976.325928, -225.144577, -1377.463013, 3996.047607, -204.796890, -1428.974121, 4113.803223, -274.902771, -1370.496948, 3977.181152, -366.147675, -1425.274292, 4059.412109, 15, 31, 2, 405, 0,
6, -347.870453, -765.887085, 4289.269531, -330.446472, -938.687073, 4228.821289, -316.451813, -1079.574829, 4189.219727, -300.129059, -1300.413574, 4156.913574, -268.282837, -1262.185303, 4165.689453, -135.894928, -1201.451172, 4187.985352, -61.985374, -948.471313, 4296.037598, -46.341972, -717.536133, 4236.203613, -116.920647, -650.113159, 4254.217773, -191.348099, -568.229309, 4266.901855, -150.543182, -628.659485, 4262.140625, -337.384644, -1265.977417, 4160.958496, -467.783051, -1229.057373, 4163.933105, -593.143555, -981.712463, 4249.612793, -623.388306, -757.904053, 4162.394043, -599.154968, -661.227966, 4200.965820, -574.622559, -570.138000, 4256.520508, -552.452026, -655.700867, 4221.224609, -254.310577, -757.167908, 4291.312500, -270.389679, -359.904358, 4401.791992, -308.289215, -18.191427, 4594.982910, -273.390961, 136.365723, 4484.605957, -432.237488, -773.749512, 4287.426758, -470.823059, -369.757294, 4359.660156, -481.571106, -14.070601, 4539.069824, -551.805481, 125.093040, 4453.831543, -293.249359, -1380.321777, 4131.280762, -226.498138, -1339.932739, 3985.173340, -192.187241, -1366.194458, 4023.406006, -187.754715, -1374.587280, 4153.733887, -230.062073, -1392.185547, 3995.221436, -303.384003, -1472.893799, 4074.903564, 15, 31, 2, 437, 0,
7, -274.086334, -778.299927, 4268.266602, -291.762024, -951.642761, 4219.687012, -306.080811, -1090.651978, 4182.490234, -306.090637, -1308.093262, 4148.222168, -339.667023, -1271.461914, 4147.488770, -479.448151, -1233.137207, 4146.962402, -557.177063, -972.736694, 4215.182129, -566.371765, -757.412781, 4309.270020, -560.342590, -663.002686, 4333.403809, -526.957397, -626.230957, 4235.750488, -519.575745, -643.439636, 4237.416504, -272.286621, -1272.538208, 4158.186035, -149.313843, -1226.660156, 4181.688965, -74.166588, -963.784119, 4263.857910, -83.000015, -755.236023, 4378.488281, -72.710831, -667.420776, 4321.625000, -34.039013, -594.772827, 4252.174316, -136.947845, -717.242371, 4253.734375, -365.522675, -766.879150, 4260.784180, -347.315643, -394.418854, 4421.094238, -320.891724, -28.507202, 4547.153809, -391.582336, 72.960556, 4691.328125, -191.634155, -788.598511, 4275.014160, -159.505539, -426.152069, 4453.909180, -125.542160, -37.234604, 4489.307617, -131.352615, 83.938805, 4615.101563, -308.233368, -1390.886963, 4148.765625, -259.448578, -1438.193481, 4296.841797, -277.518646, -1478.665283, 4261.399414, -358.899597, -1483.325684, 4162.017578, -230.172287, -1455.269409, 4256.803711, -206.471329, -1419.189575, 4131.169434, 15, 31, 2, 470, 0,
8, -348.536621, -765.198181, 4289.132813, -331.695618, -939.537354, 4228.019043, -318.121033, -1081.313354, 4186.676758, -300.763550, -1304.392700, 4156.748047, -268.734741, -1265.496582, 4164.414063, -130.674255, -1211.326538, 4174.382324, 21.466822, -967.937561, 4187.791992, 26.863207, -840.197998, 3983.303711, 59.295044, -792.788940, 3901.293701, 16.399935, -718.066772, 3829.180908, -17.259296, -763.357178, 3861.636963, -338.497009, -1269.857300, 4161.139160, -470.974457, -1236.580200, 4154.698242, -656.826721, -1010.440735, 4148.508301, -658.043640, -899.923523, 3930.728027, -689.098816, -860.464966, 3835.328857, -649.054626, -788.436829, 3761.811035, -609.115173, -882.213501, 3788.570313, -254.130066, -756.557251, 4290.497559, -246.331192, -354.951477, 4399.729980, -255.491562, -12.730896, 4602.376465, -246.522369, 133.933350, 4474.492188, -433.667145, -772.990112, 4287.901367, -501.276428, -369.579651, 4362.707520, -523.888550, -8.279234, 4537.528320, -544.576721, 140.374527, 4439.576660, -293.791351, -1385.295898, 4131.836426, -229.558563, -1339.901001, 3984.423096, -193.800537, -1366.421387, 4021.910156, -187.205734, -1377.591431, 4153.087402, -231.827621, -1392.884155, 3993.463867, -302.766113, -1477.650146, 4073.104492, 15, 31, 2, 500, 0,
9, -348.914581, -765.885254, 4288.951660, -330.161194, -940.557800, 4225.779785, -315.035034, -1083.768555, 4186.574219, -306.109528, -1308.511597, 4154.570801, -272.358734, -1270.562256, 4161.745117, -131.389267, -1220.785156, 4166.935059, 25.679096, -978.260315, 4178.438477, 27.008570, -834.328125, 3983.021973, 61.908260, -791.497009, 3898.755371, 14.817379, -718.204834, 3826.673096, -18.476023, -760.971863, 3858.599365, -342.735260, -1272.498657, 4160.148926, -475.702972, -1237.680176, 4166.900391, -658.433533, -1006.612915, 4161.204102, -664.999695, -890.325378, 3944.777100, -691.614929, -856.478760, 3845.192383, -649.641479, -793.454651, 3763.837402, -611.816284, -883.795410, 3802.390381, -253.992920, -756.374390, 4290.832520, -281.559113, -356.328156, 4412.074219, -323.986542, -3.943235, 4597.313477, -271.450256, 146.778671, 4483.500000, -434.509644, -774.461609, 4287.255859, -464.889954, -364.533051, 4365.706055, -480.832062, -1.373142, 4543.300293, -523.316406, 142.013641, 4442.470215, -302.536224, -1389.937378, 4128.805176, -245.483795, -1341.688721, 3978.168213, -208.050400, -1370.251953, 4013.002930, -194.050400, -1385.302124, 4144.058594, -248.571869, -1395.172974, 3985.979004, -317.309357, -1480.968018, 4067.906006, 15, 31, 2, 531, 0,
