"type","name","count","units","time_units"
"clip","Force curve",100,"N","%"

"time","value"
0.000,22.592
1.000,105.383
2.000,165.673
3.000,199.426
4.000,216.773
5.000,233.448
6.000,256.039
7.000,283.920
8.000,314.267
9.000,340.714
10.000,363.081
11.000,385.135
12.000,405.127
13.000,419.740
14.000,429.646
15.000,438.252
16.000,445.200
17.000,448.472
18.000,448.562
19.000,445.335
20.000,439.776
21.000,433.680
22.000,427.539
23.000,421.667
24.000,415.705
25.000,408.489
26.000,400.599
27.000,394.548
28.000,389.931
29.000,384.911
30.000,380.159
31.000,377.470
32.000,377.156
33.000,377.873
34.000,379.756
35.000,383.073
36.000,385.987
37.000,388.452
38.000,392.217
39.000,396.879
40.000,402.527
41.000,407.816
42.000,412.119
43.000,418.933
44.000,427.674
45.000,435.787
46.000,442.690
47.000,448.741
48.000,454.793
49.000,459.275
50.000,460.306
51.000,456.855
52.000,448.697
53.000,436.773
54.000,420.367
55.000,398.851
56.000,378.277
57.000,358.375
58.000,328.297
59.000,288.089
60.000,242.189
61.000,192.030
62.000,140.571
63.000,92.653
64.000,55.403
65.000,30.660
66.000,14.882
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
