"type","name","count","units","time_units"
"clip","Force curve",100,"N","%"

"time","value"
0.000,17.452
1.000,90.038
2.000,137.104
3.000,159.009
4.000,166.958
5.000,172.247
6.000,183.483
7.000,201.473
8.000,223.228
9.000,245.102
10.000,262.494
11.000,276.300
12.000,292.452
13.000,311.054
14.000,329.119
15.000,346.526
16.000,362.454
17.000,376.021
18.000,388.586
19.000,401.003
20.000,411.148
21.000,416.542
22.000,418.216
23.000,419.052
24.000,419.232
25.000,417.782
26.000,414.809
27.000,410.192
28.000,404.200
29.000,398.224
30.000,393.383
31.000,389.558
32.000,387.436
33.000,386.958
34.000,386.629
35.000,387.257
36.000,388.990
37.000,390.544
38.000,392.068
39.000,393.442
40.000,395.504
41.000,400.345
42.000,407.846
43.000,414.869
44.000,419.770
45.000,424.431
46.000,429.093
47.000,433.337
48.000,438.148
49.000,442.989
50.000,447.172
51.000,449.922
52.000,449.459
53.000,445.320
54.000,438.312
55.000,427.987
56.000,411.611
57.000,385.733
58.000,345.540
59.000,290.584
60.000,232.372
61.000,182.586
62.000,140.959
63.000,103.695
64.000,72.915
65.000,51.982
66.000,36.936
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
