"type","name","count","units","time_units"
"clip","Force curve",100,"N","%"

"time","value"
0.000,35.501
1.000,106.504
2.000,155.363
3.000,172.038
4.000,180.823
5.000,187.995
6.000,195.436
7.000,211.394
8.000,231.206
9.000,246.985
10.000,271.459
11.000,297.189
12.000,324.532
13.000,349.813
14.000,370.432
15.000,388.900
16.000,404.051
17.000,414.809
18.000,423.415
19.000,430.318
20.000,436.415
21.000,439.821
22.000,437.849
23.000,432.022
24.000,424.401
25.000,423.012
26.000,420.098
27.000,419.291
28.000,416.243
29.000,411.044
30.000,405.665
31.000,404.230
32.000,405.037
33.000,407.189
34.000,409.878
35.000,413.464
36.000,416.692
37.000,418.126
38.000,419.202
39.000,419.381
40.000,418.126
41.000,416.602
42.000,419.740
43.000,435.787
44.000,447.172
45.000,456.317
46.000,463.758
47.000,469.047
48.000,472.274
49.000,473.440
50.000,472.633
51.000,474.067
52.000,481.060
53.000,482.674
54.000,481.867
55.000,479.088
56.000,472.005
57.000,457.572
58.000,431.842
59.000,395.086
60.000,348.827
61.000,290.644
62.000,220.269
63.000,145.412
64.000,133.040
65.000,113.990
66.000,84.271
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
