"type","name","count","units","time_units"
"clip","Force curve",100,"N","%"

"time","value"
0.000,23.668
1.000,122.910
2.000,180.375
3.000,202.698
4.000,219.014
5.000,237.034
6.000,261.508
7.000,293.065
8.000,325.787
9.000,351.247
10.000,369.446
11.000,385.942
12.000,412.299
13.000,427.539
14.000,434.353
15.000,441.435
16.000,446.724
17.000,451.655
18.000,457.303
19.000,458.110
20.000,454.703
21.000,450.221
22.000,444.752
23.000,437.490
24.000,430.318
25.000,423.415
26.000,415.885
27.000,408.623
28.000,403.065
29.000,399.748
30.000,397.148
31.000,394.996
32.000,394.817
33.000,397.417
34.000,401.989
35.000,407.368
36.000,412.747
37.000,417.050
38.000,420.815
39.000,423.864
40.000,425.746
41.000,427.270
42.000,427.898
43.000,428.167
44.000,429.243
45.000,441.614
46.000,455.420
47.000,466.716
48.000,476.488
49.000,482.046
50.000,481.060
51.000,473.171
52.000,458.289
53.000,438.297
54.000,427.898
55.000,416.064
56.000,400.734
57.000,381.908
58.000,357.612
59.000,326.145
60.000,286.789
61.000,240.440
62.000,188.623
63.000,135.012
64.000,87.229
65.000,52.355
66.000,28.060
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
