"type","name","count","units","time_units"
"clip","Force curve",100,"N","%"

"time","value"
0.000,30.222
1.000,102.521
2.000,150.160
3.000,171.101
4.000,182.232
5.000,187.111
6.000,196.211
7.000,211.611
8.000,229.817
9.000,247.001
10.000,269.072
11.000,291.491
12.000,316.260
13.000,340.225
14.000,360.108
15.000,378.008
16.000,392.874
17.000,403.858
18.000,413.232
19.000,422.034
20.000,430.326
21.000,434.981
22.000,434.470
23.000,430.878
24.000,425.919
25.000,421.516
26.000,420.948
27.000,420.314
28.000,417.107
29.000,413.354
30.000,410.247
31.000,407.352
32.000,406.127
33.000,406.581
34.000,407.028
35.000,407.940
36.000,409.323
37.000,410.151
38.000,411.259
39.000,411.861
40.000,411.874
41.000,414.133
42.000,421.561
43.000,431.745
44.000,440.177
45.000,447.244
46.000,453.616
47.000,459.053
48.000,464.252
49.000,469.811
50.000,475.739
51.000,480.345
52.000,480.419
53.000,476.179
54.000,470.394
55.000,464.133
56.000,454.838
57.000,438.459
58.000,409.334
59.000,366.649
60.000,317.511
61.000,265.880
62.000,212.508
63.000,161.617
64.000,124.003
65.000,98.517
66.000,72.116
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
