"type","name","count","units","time_units"
"clip","Force curve",100,"N","%"

"time","value"
0.000,21.516
1.000,87.857
2.000,150.970
3.000,196.153
4.000,214.532
5.000,229.862
6.000,250.571
7.000,274.776
8.000,302.747
9.000,330.180
10.000,356.716
11.000,384.328
12.000,397.955
13.000,411.940
14.000,424.939
15.000,435.070
16.000,443.676
17.000,445.290
18.000,439.821
19.000,432.560
20.000,424.850
21.000,417.140
22.000,410.326
23.000,405.844
24.000,401.093
25.000,393.562
26.000,385.314
27.000,380.473
28.000,376.798
29.000,370.074
30.000,363.171
31.000,359.943
32.000,359.495
33.000,358.330
34.000,357.523
35.000,358.778
36.000,359.226
37.000,359.854
38.000,363.619
39.000,369.894
40.000,379.308
41.000,388.362
42.000,396.341
43.000,409.699
44.000,426.105
45.000,429.960
46.000,429.960
47.000,430.767
48.000,433.097
49.000,436.504
50.000,439.552
51.000,440.538
52.000,439.104
53.000,435.249
54.000,412.837
55.000,381.639
56.000,355.819
57.000,334.841
58.000,298.982
59.000,250.033
60.000,197.588
61.000,143.619
62.000,92.518
63.000,50.293
64.000,23.578
65.000,8.965
66.000,1.703
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
