"type","name","count","units","time_units"
"clip","Force curve",100,"N","%"

"time","value"
0.000,4.681
1.000,77.555
2.000,124.048
3.000,146.916
4.000,151.684
5.000,157.383
6.000,170.755
7.000,191.334
8.000,216.639
9.000,243.203
10.000,255.916
11.000,261.109
12.000,268.645
13.000,281.883
14.000,298.130
15.000,315.043
16.000,332.034
17.000,348.183
18.000,363.941
19.000,379.972
20.000,391.970
21.000,398.104
22.000,401.961
23.000,407.227
24.000,412.544
25.000,414.049
26.000,408.670
27.000,400.070
28.000,391.294
29.000,383.093
30.000,376.518
31.000,371.763
32.000,368.745
33.000,367.335
34.000,366.230
35.000,366.573
36.000,368.657
37.000,370.937
38.000,372.876
39.000,375.024
40.000,379.135
41.000,386.558
42.000,394.132
43.000,397.993
44.000,399.362
45.000,401.618
46.000,404.571
47.000,407.621
48.000,412.044
49.000,416.167
50.000,418.606
51.000,419.499
52.000,418.499
53.000,414.460
54.000,406.230
55.000,391.842
56.000,368.384
57.000,333.007
58.000,281.745
59.000,214.520
60.000,147.232
61.000,99.293
62.000,69.411
63.000,45.772
64.000,21.827
65.000,5.446
66.000,1.755
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
