"type","name","count","units","time_units"
"clip","Max. pressure curve",100,"N/cm²","%"

"time","value"
0.000,4.000
1.000,8.953
2.000,12.688
3.000,14.563
4.000,15.203
5.000,15.656
6.000,16.375
7.000,17.328
8.000,18.328
9.000,19.219
10.000,20.000
11.000,20.734
12.000,21.406
13.000,21.969
14.000,22.375
15.000,22.516
16.000,22.297
17.000,21.781
18.000,21.094
19.000,20.375
20.000,19.953
21.000,20.172
22.000,20.969
23.000,21.984
24.000,22.984
25.000,23.922
26.000,24.797
27.000,25.328
28.000,25.516
29.000,25.938
30.000,26.688
31.000,27.656
32.000,28.953
33.000,30.547
34.000,32.328
35.000,34.203
36.000,36.188
37.000,38.375
38.000,40.750
39.000,43.156
40.000,45.531
41.000,47.594
42.000,49.406
43.000,51.594
44.000,53.875
45.000,55.750
46.000,57.391
47.000,59.000
48.000,60.727
49.000,62.578
50.000,64.133
51.000,65.047
52.000,65.469
53.000,65.406
54.000,64.516
55.000,62.484
56.000,59.766
57.000,56.359
58.000,51.141
59.000,44.297
60.000,36.672
61.000,28.438
62.000,20.453
63.000,14.344
64.000,10.563
65.000,7.828
66.000,5.125
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
