"type","name","count","units","time_units"
"clip","Max. pressure curve",100,"N/cm²","%"

"time","value"
0.000,3.958
1.000,8.208
2.000,10.969
3.000,11.979
4.000,12.250
5.000,12.854
6.000,14.031
7.000,15.406
8.000,16.771
9.000,18.156
10.000,19.510
11.000,20.896
12.000,22.635
13.000,24.885
14.000,27.271
15.000,29.385
16.000,31.208
17.000,32.729
18.000,33.901
19.000,34.719
20.000,35.120
21.000,35.167
22.000,35.073
23.000,34.979
24.000,34.875
25.000,34.818
26.000,34.885
27.000,34.984
28.000,35.052
29.000,35.083
30.000,34.979
31.000,34.667
32.000,34.068
33.000,33.198
34.000,32.568
35.000,32.542
36.000,32.729
37.000,32.750
38.000,32.583
39.000,32.281
40.000,32.021
41.000,32.135
42.000,32.792
43.000,33.583
44.000,34.271
45.000,35.219
46.000,36.365
47.000,37.365
48.000,38.198
49.000,38.948
50.000,39.667
51.000,40.406
52.000,41.271
53.000,42.344
54.000,43.417
55.000,44.146
56.000,44.385
57.000,43.938
58.000,42.589
59.000,40.323
60.000,37.411
61.000,34.135
62.000,30.438
63.000,26.490
64.000,22.802
65.000,19.422
66.000,15.563
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
