"type","name","count","units","time_units"
"clip","Max. pressure curve",100,"N/cm²","%"

"time","value"
0.000,5.000
1.000,9.719
2.000,12.813
3.000,13.438
4.000,13.938
5.000,16.156
6.000,19.781
7.000,23.313
8.000,26.031
9.000,28.500
10.000,31.031
11.000,33.688
12.000,37.063
13.000,41.844
14.000,47.250
15.000,52.156
16.000,56.594
17.000,60.531
18.000,63.766
19.000,66.188
20.000,67.547
21.000,68.125
22.000,68.531
23.000,68.969
24.000,69.313
25.000,69.453
26.000,69.344
27.000,68.953
28.000,68.313
29.000,67.375
30.000,65.969
31.000,64.031
32.000,61.234
33.000,57.594
34.000,54.891
35.000,54.375
36.000,54.938
37.000,55.469
38.000,55.813
39.000,55.969
40.000,56.000
41.000,56.000
42.000,56.000
43.000,56.000
44.000,56.000
45.000,56.000
46.000,55.969
47.000,55.813
48.000,55.469
49.000,55.000
50.000,54.531
51.000,54.250
52.000,54.594
53.000,56.188
54.000,58.906
55.000,61.781
56.000,64.281
57.000,66.375
58.000,67.797
59.000,67.906
60.000,66.609
61.000,64.594
62.000,62.031
63.000,58.719
64.000,54.719
65.000,49.047
66.000,39.906
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
