"type","name","count","units","time_units"
"clip","Max. pressure curve",100,"N/cm²","%"

"time","value"
0.000,4.625
1.000,10.156
2.000,13.750
3.000,15.031
4.000,15.281
5.000,16.250
6.000,17.531
7.000,18.969
8.000,20.281
9.000,21.281
10.000,22.000
11.000,22.688
12.000,23.531
13.000,24.469
14.000,25.281
15.000,25.750
16.000,25.781
17.000,25.438
18.000,24.844
19.000,24.094
20.000,23.219
21.000,22.281
22.000,21.375
23.000,23.500
24.000,26.469
25.000,29.313
26.000,31.938
27.000,33.781
28.000,34.906
29.000,36.500
30.000,38.719
31.000,41.188
32.000,43.844
33.000,46.469
34.000,49.000
35.000,51.531
36.000,54.188
37.000,57.063
38.000,60.125
39.000,63.156
40.000,66.031
41.000,68.156
42.000,69.656
43.000,71.813
44.000,74.125
45.000,75.656
46.000,76.813
47.000,77.969
48.000,78.969
49.000,79.531
50.000,79.625
51.000,79.281
52.000,78.563
53.000,77.469
54.000,75.750
55.000,73.063
56.000,70.469
57.000,68.188
58.000,63.750
59.000,56.438
60.000,46.813
61.000,34.938
62.000,22.719
63.000,15.344
64.000,13.438
65.000,11.625
66.000,8.781
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
