"type","name","count","units","time_units"
"clip","Max. pressure curve",100,"N/cm²","%"

"time","value"
0.000,4.950
1.000,9.767
2.000,12.732
3.000,13.660
4.000,14.112
5.000,15.546
6.000,18.256
7.000,21.066
8.000,23.351
9.000,25.491
10.000,27.684
11.000,29.990
12.000,32.900
13.000,36.932
14.000,41.439
15.000,45.516
16.000,49.180
17.000,52.405
18.000,55.029
19.000,56.974
20.000,58.049
21.000,58.474
22.000,58.742
23.000,59.045
24.000,59.291
25.000,59.402
26.000,59.347
27.000,59.078
28.000,58.612
29.000,57.929
30.000,56.892
31.000,55.446
32.000,53.337
33.000,50.581
34.000,48.600
35.000,48.382
36.000,49.021
37.000,49.602
38.000,49.966
39.000,50.124
40.000,50.155
41.000,50.180
42.000,50.272
43.000,50.425
44.000,50.594
45.000,50.753
46.000,50.874
47.000,50.879
48.000,50.729
49.000,50.492
50.000,50.279
51.000,50.242
52.000,50.708
53.000,52.133
54.000,54.376
55.000,56.653
56.000,58.577
57.000,60.106
58.000,60.986
59.000,60.706
60.000,59.105
61.000,56.576
62.000,53.328
63.000,49.549
64.000,45.532
65.000,40.536
66.000,32.966
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
