"type","name","count","units","time_units"
"clip","Max. pressure curve",100,"N/cm²","%"

"time","value"
0.000,3.375
1.000,7.750
2.000,11.625
3.000,14.094
4.000,15.125
5.000,15.063
6.000,15.219
7.000,15.688
8.000,16.375
9.000,17.156
10.000,18.000
11.000,18.781
12.000,19.281
13.000,19.469
14.000,19.469
15.000,19.281
16.000,18.813
17.000,18.125
18.000,17.344
19.000,16.656
20.000,16.688
21.000,18.063
22.000,20.563
23.000,20.469
24.000,19.500
25.000,18.531
26.000,17.656
27.000,16.875
28.000,16.125
29.000,15.375
30.000,14.656
31.000,14.125
32.000,14.063
33.000,14.625
34.000,15.656
35.000,16.875
36.000,18.188
37.000,19.688
38.000,21.375
39.000,23.156
40.000,25.031
41.000,27.031
42.000,29.156
43.000,31.375
44.000,33.625
45.000,35.844
46.000,37.969
47.000,40.031
48.000,42.484
49.000,45.625
50.000,48.641
51.000,50.813
52.000,52.375
53.000,53.344
54.000,53.281
55.000,51.906
56.000,49.063
57.000,44.531
58.000,38.531
59.000,32.156
60.000,26.531
61.000,21.938
62.000,18.188
63.000,13.344
64.000,7.688
65.000,4.031
66.000,1.469
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
