"type","name","count","units","time_units"
"clip","Max. pressure curve",100,"N/cm²","%"

"time","value"
0.000,2.967
1.000,6.650
2.000,9.206
3.000,10.299
4.000,10.388
5.000,10.162
6.000,9.806
7.000,9.747
8.000,10.190
9.000,10.822
10.000,11.337
11.000,11.802
12.000,12.371
13.000,12.839
14.000,13.103
15.000,13.255
16.000,13.237
17.000,13.054
18.000,12.773
19.000,12.463
20.000,12.190
21.000,11.860
22.000,11.404
23.000,10.913
24.000,10.459
25.000,10.233
26.000,10.423
27.000,10.891
28.000,11.492
29.000,12.238
30.000,13.066
31.000,13.887
32.000,14.798
33.000,15.815
34.000,16.535
35.000,16.701
36.000,16.437
37.000,15.898
38.000,15.200
39.000,14.439
40.000,13.887
41.000,14.091
42.000,15.311
43.000,16.742
44.000,17.947
45.000,19.684
46.000,21.855
47.000,23.850
48.000,25.667
49.000,27.404
50.000,29.054
51.000,30.571
52.000,31.834
53.000,32.554
54.000,32.458
55.000,31.639
56.000,30.194
57.000,27.769
58.000,24.191
59.000,19.940
60.000,15.718
61.000,11.695
62.000,7.547
63.000,3.430
64.000,0.072
65.000,-1.692
66.000,-1.841
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
