"type","name","count","units","time_units"
"clip","LT Force curve",100,"N","%"

"time","value"
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.269
5.000,0.807
6.000,3.460
7.000,9.313
8.000,16.035
9.000,22.892
10.000,29.881
11.000,37.062
12.000,44.172
13.000,49.930
14.000,54.265
15.000,57.913
16.000,61.362
17.000,64.127
18.000,66.485
19.000,70.436
20.000,75.010
21.000,78.187
22.000,80.904
23.000,84.291
24.000,88.422
25.000,91.921
26.000,94.979
27.000,98.172
28.000,100.852
29.000,104.308
30.000,108.054
31.000,110.727
32.000,113.704
33.000,116.703
34.000,119.174
35.000,121.792
36.000,124.663
37.000,128.415
38.000,131.772
39.000,134.165
40.000,137.312
41.000,140.404
42.000,143.132
43.000,146.663
44.000,150.109
45.000,153.856
46.000,158.883
47.000,164.126
48.000,169.464
49.000,176.315
50.000,183.731
51.000,189.966
52.000,197.817
53.000,207.062
54.000,214.549
55.000,223.345
56.000,233.288
57.000,241.690
58.000,251.237
59.000,262.204
60.000,273.524
61.000,284.805
62.000,296.005
63.000,308.953
64.000,320.916
65.000,332.202
66.000,347.155
67.000,360.634
68.000,371.998
69.000,385.470
70.000,396.433
71.000,405.739
72.000,417.346
73.000,426.452
74.000,431.357
75.000,436.030
76.000,439.578
77.000,440.687
78.000,440.590
79.000,436.819
80.000,429.408
81.000,421.031
82.000,409.156
83.000,393.427
84.000,376.941
85.000,358.332
86.000,334.594
87.000,306.289
88.000,276.073
89.000,243.158
90.000,206.708
91.000,169.332
92.000,132.970
93.000,102.370
94.000,75.149
95.000,47.811
96.000,30.423
97.000,19.934
98.000,9.651
99.000,5.376
