"type","name","count","units","time_units"
"clip","RT Force curve",100,"N","%"

"time","value"
0.000,2.103
1.000,3.757
2.000,6.508
3.000,9.617
4.000,11.755
5.000,14.542
6.000,18.811
7.000,23.982
8.000,29.962
9.000,36.493
10.000,43.610
11.000,51.241
12.000,58.949
13.000,65.076
14.000,69.991
15.000,76.334
16.000,83.923
17.000,91.875
18.000,98.930
19.000,104.401
20.000,109.935
21.000,115.614
22.000,121.370
23.000,126.878
24.000,131.257
25.000,136.069
26.000,142.013
27.000,147.114
28.000,151.110
29.000,155.844
30.000,160.756
31.000,164.881
32.000,169.143
33.000,172.823
34.000,175.132
35.000,177.667
36.000,180.697
37.000,183.344
38.000,185.763
39.000,188.069
40.000,190.365
41.000,191.664
42.000,191.916
43.000,193.173
44.000,195.237
45.000,196.785
46.000,198.128
47.000,199.284
48.000,200.474
49.000,202.638
50.000,205.057
51.000,206.916
52.000,209.668
53.000,214.087
54.000,218.841
55.000,224.245
56.000,229.041
57.000,232.411
58.000,238.438
59.000,246.054
60.000,253.582
61.000,262.802
62.000,271.545
63.000,280.335
64.000,289.360
65.000,297.164
66.000,307.209
67.000,316.781
68.000,323.311
69.000,332.260
70.000,340.858
71.000,345.629
72.000,349.870
73.000,353.635
74.000,357.877
75.000,361.682
76.000,362.761
77.000,363.682
78.000,364.619
79.000,363.485
80.000,359.684
81.000,354.061
82.000,346.689
83.000,336.039
84.000,324.970
85.000,314.648
86.000,298.502
87.000,275.912
88.000,253.285
89.000,227.645
90.000,196.262
91.000,167.523
92.000,138.004
93.000,108.645
94.000,86.456
95.000,60.789
96.000,36.820
97.000,23.071
98.000,14.234
99.000,10.847
