"type","name","count","units","time_units"
"clip","LT Force curve",100,"N","%"

"time","value"
0.000,23.066
1.000,103.366
2.000,144.515
3.000,166.599
4.000,185.254
5.000,193.863
6.000,199.639
7.000,209.002
8.000,218.256
9.000,227.846
10.000,238.844
11.000,248.923
12.000,258.139
13.000,267.620
14.000,276.292
15.000,284.289
16.000,293.100
17.000,302.211
18.000,309.651
19.000,315.413
20.000,320.371
21.000,322.963
22.000,323.261
23.000,322.609
24.000,320.286
25.000,316.881
26.000,312.420
27.000,306.624
28.000,300.753
29.000,293.382
30.000,285.223
31.000,278.824
32.000,271.349
33.000,262.546
34.000,255.715
35.000,250.062
36.000,243.304
37.000,235.327
38.000,228.382
39.000,221.418
40.000,212.899
41.000,206.234
42.000,200.294
43.000,192.660
44.000,186.183
45.000,179.966
46.000,172.332
47.000,166.029
48.000,160.979
49.000,153.794
50.000,145.480
51.000,138.719
52.000,130.726
53.000,121.774
54.000,114.628
55.000,104.988
56.000,93.073
57.000,84.081
58.000,75.893
59.000,65.597
60.000,55.082
61.000,47.200
62.000,40.353
63.000,32.436
64.000,25.957
65.000,20.126
66.000,13.225
67.000,7.698
68.000,4.010
69.000,1.566
70.000,0.623
71.000,0.267
72.000,0.036
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
