"type","name","count","units","time_units"
"clip","RT Force curve",100,"N","%"

"time","value"
0.000,13.225
1.000,75.816
2.000,116.269
3.000,141.397
4.000,153.600
5.000,155.906
6.000,155.542
7.000,154.786
8.000,155.131
9.000,156.416
10.000,159.188
11.000,165.205
12.000,172.884
13.000,179.135
14.000,183.983
15.000,189.573
16.000,195.840
17.000,200.750
18.000,204.759
19.000,209.736
20.000,215.425
21.000,220.364
22.000,224.888
23.000,229.373
24.000,232.993
25.000,234.981
26.000,235.538
27.000,235.897
28.000,235.678
29.000,234.005
30.000,231.658
31.000,229.112
32.000,226.062
33.000,223.008
34.000,220.549
35.000,217.015
36.000,212.498
37.000,208.832
38.000,205.308
39.000,201.235
40.000,195.882
41.000,191.278
42.000,188.633
43.000,184.252
44.000,179.191
45.000,175.582
46.000,171.733
47.000,168.709
48.000,166.845
49.000,164.131
50.000,161.229
51.000,159.270
52.000,156.784
53.000,152.127
54.000,147.161
55.000,143.104
56.000,139.784
57.000,136.763
58.000,130.810
59.000,123.672
60.000,117.343
61.000,109.451
62.000,102.599
63.000,97.975
64.000,93.767
65.000,90.115
66.000,85.537
67.000,81.373
68.000,78.709
69.000,74.769
70.000,71.135
71.000,69.652
72.000,68.896
73.000,68.663
74.000,68.551
75.000,67.924
76.000,66.768
77.000,64.746
78.000,62.783
79.000,60.967
80.000,56.884
81.000,49.585
82.000,39.620
83.000,30.857
84.000,24.566
85.000,15.886
86.000,6.859
87.000,1.946
88.000,0.269
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
