"type","name","count","units","time_units"
"clip","LT Force curve",100,"N","%"

"time","value"
0.000,0.000
1.000,0.356
2.000,0.688
3.000,1.049
4.000,1.883
5.000,3.347
6.000,5.347
7.000,7.436
8.000,9.333
9.000,11.353
10.000,13.479
11.000,15.676
12.000,17.851
13.000,20.006
14.000,22.420
15.000,24.820
16.000,27.054
17.000,29.046
18.000,30.337
19.000,31.144
20.000,31.829
21.000,32.333
22.000,32.755
23.000,33.607
24.000,34.638
25.000,35.200
26.000,35.886
27.000,36.933
28.000,37.466
29.000,37.047
30.000,36.916
31.000,37.325
32.000,36.891
33.000,36.450
34.000,36.774
35.000,36.937
36.000,37.115
37.000,37.153
38.000,37.004
39.000,37.420
40.000,37.771
41.000,38.146
42.000,39.236
43.000,40.527
44.000,41.465
45.000,42.082
46.000,43.224
47.000,44.611
48.000,45.728
49.000,47.646
50.000,49.532
51.000,51.165
52.000,54.653
53.000,58.212
54.000,60.260
55.000,62.839
56.000,65.589
57.000,67.283
58.000,68.493
59.000,70.271
60.000,72.272
61.000,72.962
62.000,72.581
63.000,72.092
64.000,71.540
65.000,69.852
66.000,66.941
67.000,64.247
68.000,60.842
69.000,56.683
70.000,53.028
71.000,48.143
72.000,41.847
73.000,37.286
74.000,34.173
75.000,29.379
76.000,24.934
77.000,22.178
78.000,18.359
79.000,14.806
80.000,12.533
81.000,9.582
82.000,6.961
83.000,5.327
84.000,3.404
85.000,1.720
86.000,0.953
87.000,0.571
88.000,0.190
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
