"type","name","count","units","time_units"
"clip","RT Force curve",100,"N","%"

"time","value"
0.000,0.544
1.000,0.937
2.000,1.594
3.000,2.489
4.000,3.454
5.000,4.573
6.000,5.693
7.000,6.752
8.000,8.319
9.000,10.297
10.000,12.152
11.000,13.924
12.000,15.704
13.000,17.132
14.000,18.087
15.000,19.003
16.000,19.876
17.000,20.348
18.000,20.487
19.000,20.547
20.000,20.662
21.000,20.778
22.000,20.722
23.000,20.529
24.000,20.398
25.000,20.278
26.000,20.279
27.000,20.536
28.000,20.996
29.000,21.748
30.000,22.437
31.000,22.856
32.000,23.283
33.000,23.669
34.000,23.888
35.000,23.971
36.000,23.827
37.000,23.503
38.000,23.262
39.000,23.124
40.000,22.954
41.000,22.787
42.000,22.559
43.000,22.252
44.000,22.269
45.000,22.768
46.000,23.466
47.000,24.330
48.000,25.097
49.000,25.491
50.000,26.107
51.000,26.989
52.000,27.797
53.000,28.950
54.000,30.009
55.000,30.249
56.000,30.252
57.000,30.642
58.000,31.573
59.000,32.148
60.000,31.709
61.000,31.360
62.000,31.419
63.000,31.600
64.000,31.733
65.000,31.392
66.000,30.771
67.000,29.781
68.000,28.224
69.000,26.013
70.000,23.983
71.000,22.531
72.000,20.860
73.000,18.919
74.000,16.491
75.000,14.321
76.000,12.739
77.000,11.221
78.000,10.054
79.000,8.565
80.000,6.855
81.000,5.585
82.000,4.204
83.000,3.021
84.000,2.386
85.000,1.749
86.000,1.008
87.000,0.362
88.000,0.040
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
