"type","name","count","units","time_units"
"clip","LT Force curve",100,"N","%"

"time","value"
0.000,23.066
1.000,103.722
2.000,145.203
3.000,167.649
4.000,187.406
5.000,198.017
6.000,208.447
7.000,225.751
8.000,243.623
9.000,262.091
10.000,282.204
11.000,301.661
12.000,320.162
13.000,337.557
14.000,352.977
15.000,367.022
16.000,381.516
17.000,395.384
18.000,406.473
19.000,416.992
20.000,427.210
21.000,433.483
22.000,436.919
23.000,440.506
24.000,443.346
25.000,444.003
26.000,443.285
27.000,441.730
28.000,439.070
29.000,434.737
30.000,430.193
31.000,426.875
32.000,421.944
33.000,415.699
34.000,411.663
35.000,408.791
36.000,405.082
37.000,400.895
38.000,397.158
39.000,393.003
40.000,387.982
41.000,384.784
42.000,382.661
43.000,379.850
44.000,377.757
45.000,375.904
46.000,374.439
47.000,374.766
48.000,376.170
49.000,377.755
50.000,378.743
51.000,379.849
52.000,383.195
53.000,387.048
54.000,389.437
55.000,391.172
56.000,391.950
57.000,393.054
58.000,395.623
59.000,398.071
60.000,400.877
61.000,404.967
62.000,408.939
63.000,413.481
64.000,418.413
65.000,422.180
66.000,427.321
67.000,432.579
68.000,436.850
69.000,443.719
70.000,450.084
71.000,454.149
72.000,459.228
73.000,463.738
74.000,465.530
75.000,465.410
76.000,464.511
77.000,462.866
78.000,458.948
79.000,451.625
80.000,441.941
81.000,430.613
82.000,416.117
83.000,398.754
84.000,380.345
85.000,360.053
86.000,335.547
87.000,306.860
88.000,276.263
89.000,243.158
90.000,206.708
91.000,169.332
92.000,132.970
93.000,102.370
94.000,75.149
95.000,47.811
96.000,30.423
97.000,19.934
98.000,9.651
99.000,5.376
