"type","name","count","units","time_units"
"clip","RT Force curve",100,"N","%"

"time","value"
0.000,15.873
1.000,80.511
2.000,124.371
3.000,153.503
4.000,168.809
5.000,175.021
6.000,180.047
7.000,185.520
8.000,193.412
9.000,203.206
10.000,214.950
11.000,230.369
12.000,247.537
13.000,261.344
14.000,272.061
15.000,284.910
16.000,299.639
17.000,312.973
18.000,324.176
19.000,334.685
20.000,346.022
21.000,356.756
22.000,366.980
23.000,376.780
24.000,384.648
25.000,391.328
26.000,397.831
27.000,403.547
28.000,407.784
29.000,411.597
30.000,414.851
31.000,416.849
32.000,418.488
33.000,419.500
34.000,419.570
35.000,418.653
36.000,417.022
37.000,415.679
38.000,414.333
39.000,412.428
40.000,409.202
41.000,405.729
42.000,403.108
43.000,399.677
44.000,396.697
45.000,395.135
46.000,393.326
47.000,392.323
48.000,392.416
49.000,392.260
50.000,392.392
51.000,393.175
52.000,394.248
53.000,395.163
54.000,396.011
55.000,397.599
56.000,399.077
57.000,399.816
58.000,400.821
59.000,401.874
60.000,402.634
61.000,403.614
62.000,405.563
63.000,409.910
64.000,414.860
65.000,418.670
66.000,423.517
67.000,427.935
68.000,430.243
69.000,433.042
70.000,435.976
71.000,437.812
72.000,439.627
73.000,441.217
74.000,442.919
75.000,443.927
76.000,442.268
77.000,439.649
78.000,437.456
79.000,433.018
80.000,423.423
81.000,409.231
82.000,390.513
83.000,369.917
84.000,351.921
85.000,332.283
86.000,306.369
87.000,278.220
88.000,253.594
89.000,227.645
90.000,196.262
91.000,167.523
92.000,138.004
93.000,108.645
94.000,86.456
95.000,60.789
96.000,36.820
97.000,23.071
98.000,14.234
99.000,10.847
