"type","name","count","units","time_units"
"clip","LT Butterfly, left",324,"N","s"

"time","value"
0.640,23.668
0.650,85.705
0.660,156.349
0.670,205.477
0.680,217.311
0.690,235.958
0.700,258.908
0.710,292.258
0.720,328.835
0.730,353.220
0.740,369.715
0.750,385.135
0.760,397.327
0.770,412.030
0.780,426.374
0.790,434.980
0.800,443.945
0.810,451.834
0.820,459.006
0.830,459.365
0.840,454.703
0.850,450.041
0.860,446.097
0.870,436.773
0.880,430.318
0.890,423.864
0.900,415.616
0.910,408.444
0.920,401.989
0.930,399.837
0.940,397.327
0.950,394.100
0.960,394.458
0.970,396.251
0.980,402.706
0.990,406.292
1.000,414.181
1.010,416.333
1.020,421.353
1.030,424.222
1.040,425.657
1.050,427.450
1.060,428.525
1.070,427.091
1.080,429.960
1.090,429.960
1.100,429.960
1.110,429.960
1.120,433.187
1.130,433.904
1.140,438.208
1.150,440.718
1.160,440.718
1.170,440.001
1.180,435.697
1.190,429.601
1.200,416.692
1.210,401.272
1.220,383.701
1.230,358.957
1.240,328.835
1.250,287.955
1.260,242.413
1.270,188.981
1.280,134.116
1.290,82.836
1.300,49.128
1.310,28.329
1.320,6.455
1.660,21.516
1.670,141.646
1.680,186.830
1.690,206.194
1.700,211.573
1.710,228.786
1.720,250.302
1.730,272.894
1.740,303.016
1.750,332.062
1.760,353.578
1.770,387.645
1.780,414.899
1.790,431.753
1.800,442.152
1.810,449.683
1.820,445.380
1.830,440.718
1.840,432.470
1.850,424.581
1.860,417.767
1.870,408.444
1.880,406.651
1.890,401.630
1.900,394.458
1.910,383.701
1.920,379.397
1.930,368.998
1.940,362.902
1.950,357.881
1.960,361.109
1.970,357.881
1.980,356.447
1.990,359.316
2.000,360.033
2.010,357.523
2.020,364.336
2.030,368.281
2.040,378.680
2.050,391.590
2.060,410.595
2.070,426.015
2.080,441.794
2.090,456.855
2.100,466.178
2.110,477.653
2.120,484.467
2.130,481.598
2.140,476.578
2.150,457.930
2.160,440.718
2.170,413.823
2.180,382.983
2.190,346.765
2.200,299.071
2.210,251.019
2.220,199.022
2.230,141.288
2.240,92.877
2.250,43.032
2.260,22.233
2.270,6.813
2.590,24.026
2.600,140.929
2.610,153.122
2.620,168.541
2.630,182.885
2.640,238.109
2.650,276.838
2.660,304.450
2.670,328.476
2.680,358.599
2.690,382.625
2.700,405.216
2.710,420.278
2.720,431.036
2.730,433.904
2.740,433.904
2.750,433.187
2.760,427.808
2.770,424.222
2.780,417.767
2.790,412.388
2.800,405.216
2.810,396.610
2.820,390.155
2.830,385.135
2.840,380.115
2.850,374.018
2.860,371.867
2.870,370.074
2.880,371.150
2.890,367.922
2.900,370.432
2.910,370.074
2.920,373.301
2.930,377.963
2.940,389.438
2.950,395.176
2.960,393.383
2.970,398.403
2.980,403.423
2.990,408.802
3.000,414.899
3.010,420.995
3.020,425.657
3.030,431.394
3.040,442.869
3.050,456.496
3.060,465.102
3.070,474.067
3.080,473.350
3.090,472.992
3.100,468.688
3.110,456.137
3.120,437.132
3.130,410.595
3.140,376.887
3.150,336.724
3.160,291.899
3.170,240.620
3.180,177.865
3.190,121.206
3.200,67.417
3.210,29.046
3.220,16.854
3.230,2.869
