"type","name","count","units","time_units"
"clip","RT Butterfly, right",394,"N","s"

"time","value"
0.010,35.501
0.020,92.160
0.030,129.454
0.040,170.334
0.050,178.224
0.060,170.693
0.070,178.582
0.080,193.643
0.090,213.725
0.100,232.013
0.110,247.074
0.120,257.115
0.130,262.136
0.140,264.646
0.150,272.894
0.160,284.727
0.170,295.485
0.180,313.415
0.190,331.704
0.200,351.785
0.210,367.922
0.220,387.645
0.230,397.327
0.240,409.878
0.250,415.974
0.260,418.485
0.270,422.071
0.280,424.222
0.290,423.505
0.300,422.788
0.310,418.843
0.320,415.257
0.330,409.520
0.340,405.934
0.350,405.216
0.360,403.423
0.370,404.858
0.380,407.368
0.390,406.651
0.400,409.878
0.410,412.747
0.420,418.485
0.430,417.050
0.440,419.919
0.450,420.995
0.460,418.843
0.470,417.767
0.480,417.050
0.490,414.540
0.500,414.540
0.510,413.823
0.520,413.464
0.530,410.595
0.540,409.878
0.550,409.520
0.560,408.802
0.570,408.444
0.580,407.009
0.590,406.651
0.600,407.727
0.610,407.368
0.620,407.727
0.630,405.575
0.640,403.423
0.650,392.666
0.660,369.715
0.670,336.366
0.680,285.445
0.690,230.938
0.700,188.981
0.710,166.390
0.720,154.915
0.730,146.667
0.740,133.399
0.750,118.696
0.760,97.897
0.770,72.437
0.780,48.052
0.790,27.253
0.800,10.399
1.160,7.889
1.170,78.892
1.180,139.495
1.190,144.515
1.200,143.081
1.210,152.046
1.220,162.087
1.230,187.188
1.240,213.725
1.250,245.640
1.260,265.004
1.270,285.803
1.280,304.450
1.290,320.946
1.300,338.159
1.310,351.427
1.320,363.619
1.330,371.150
1.340,383.342
1.350,390.155
1.360,396.251
1.370,403.423
1.380,410.595
1.390,414.540
1.400,418.485
1.410,420.995
1.420,416.692
1.430,410.595
1.440,406.292
1.450,399.479
1.460,394.458
1.470,389.797
1.480,385.135
1.490,381.549
1.500,379.039
1.510,377.246
1.520,378.322
1.530,379.756
1.540,381.908
1.550,388.004
1.560,396.610
1.570,403.065
1.580,414.181
1.590,419.202
1.600,433.187
1.610,447.531
1.620,461.158
1.630,476.578
1.640,481.957
1.650,483.750
1.660,481.239
1.670,472.633
1.680,461.516
1.690,434.622
1.700,396.610
1.710,352.502
1.720,293.692
1.730,222.690
1.740,142.005
1.750,68.851
1.760,30.481
1.770,14.703
2.070,8.965
2.080,128.737
2.090,159.576
2.100,173.562
2.110,181.451
2.120,186.830
2.130,196.871
2.140,201.174
2.150,222.690
2.160,247.074
2.170,271.101
2.180,296.561
2.190,324.532
2.200,352.502
2.210,369.715
2.220,389.797
2.230,406.292
2.240,413.823
2.250,425.298
2.260,429.243
2.270,437.490
2.280,441.435
2.290,438.925
2.300,432.111
2.310,424.939
2.320,415.616
2.330,407.009
2.340,395.176
2.350,386.928
2.360,376.170
2.370,368.639
2.380,364.695
2.390,360.033
2.400,361.467
2.410,358.599
2.420,362.185
2.430,368.639
2.440,374.377
2.450,379.756
2.460,382.266
2.470,385.852
2.480,399.837
2.490,420.636
2.500,437.849
2.510,446.814
2.520,457.213
2.530,464.027
2.540,469.764
2.550,472.633
2.560,474.067
2.570,472.992
2.580,470.481
2.590,460.799
2.600,447.531
2.610,428.884
2.620,404.858
2.630,375.811
2.640,336.366
2.650,281.500
2.660,219.104
2.670,145.232
2.680,81.043
2.690,44.466
2.700,17.571
2.710,7.531
3.080,11.117
3.090,68.134
3.100,151.687
3.110,174.996
3.120,190.057
3.130,203.325
3.140,227.352
3.150,241.337
3.160,258.191
3.170,278.631
3.180,296.561
3.190,312.698
3.200,333.138
3.210,356.806
3.220,377.604
3.230,395.176
3.240,407.368
3.250,417.409
3.260,420.995
3.270,428.167
3.280,431.036
3.290,429.243
3.300,427.808
3.310,425.657
3.320,423.864
3.330,423.505
3.340,419.202
3.350,419.202
3.360,415.616
3.370,412.388
3.380,411.313
3.390,406.292
3.400,406.292
3.410,406.651
3.420,402.348
3.430,400.913
3.440,399.837
3.450,396.251
3.460,392.307
3.470,396.610
3.480,395.176
3.490,395.893
3.500,402.706
3.510,404.858
3.520,407.009
3.530,415.616
3.540,418.126
3.550,420.278
3.560,421.712
3.570,427.808
3.580,428.167
3.590,431.753
3.600,432.470
3.610,432.470
3.620,430.677
3.630,435.339
3.640,440.359
3.650,444.662
3.660,445.738
3.670,448.248
3.680,445.380
3.690,442.869
3.700,437.490
3.710,435.339
3.720,429.243
3.730,423.146
3.740,411.671
3.750,395.893
3.760,380.832
3.770,363.978
3.780,339.593
3.790,315.567
3.800,289.389
3.810,263.570
3.820,233.089
3.830,202.967
3.840,169.976
3.850,138.060
3.860,114.393
3.870,89.650
3.880,69.210
3.890,60.245
3.900,44.466
3.910,34.425
3.920,22.233
3.930,10.758
