"type","name","count","units","time_units"
"clip","LT Butterfly",394,"N","s"

"time","value"
0.640,427.091
0.650,478.371
0.660,526.064
0.670,541.843
0.680,502.755
0.690,466.895
0.700,447.890
0.710,458.648
0.720,483.750
0.730,499.886
0.740,503.114
0.750,503.831
0.760,495.225
0.770,484.467
0.780,474.426
0.790,462.234
0.800,454.344
0.810,451.834
0.820,459.006
0.830,459.365
0.840,454.703
0.850,450.041
0.860,446.097
0.870,436.773
0.880,430.318
0.890,423.864
0.900,415.616
0.910,408.444
0.920,401.989
0.930,399.837
0.940,397.327
0.950,394.100
0.960,394.458
0.970,396.251
0.980,402.706
0.990,406.292
1.000,414.181
1.010,416.333
1.020,421.353
1.030,424.222
1.040,425.657
1.050,427.450
1.060,428.525
1.070,427.091
1.080,429.960
1.090,429.960
1.100,429.960
1.110,429.960
1.120,433.187
1.130,433.904
1.140,438.208
1.150,440.718
1.160,448.607
1.170,518.892
1.180,575.192
1.190,574.116
1.200,559.772
1.210,553.318
1.220,545.787
1.230,546.146
1.240,542.560
1.250,533.595
1.260,507.417
1.270,474.785
1.280,438.566
1.290,403.782
1.300,387.287
1.310,379.756
1.320,370.074
1.330,371.150
1.340,383.342
1.350,390.155
1.360,396.251
1.370,403.423
1.380,410.595
1.390,414.540
1.400,418.485
1.410,420.995
1.420,416.692
1.430,410.595
1.440,406.292
1.450,399.479
1.460,394.458
1.470,389.797
1.480,385.135
1.490,381.549
1.500,379.039
1.510,377.246
1.520,378.322
1.530,379.756
1.540,381.908
1.550,388.004
1.560,396.610
1.570,403.065
1.580,414.181
1.590,419.202
1.600,433.187
1.610,447.531
1.620,461.158
1.630,476.578
1.640,481.957
1.650,483.750
1.660,502.755
1.670,614.279
1.680,648.346
1.690,640.816
1.700,608.183
1.710,581.288
1.720,543.994
1.730,495.583
1.740,445.021
1.750,400.913
1.760,384.059
1.770,402.348
1.780,414.899
1.790,431.753
1.800,442.152
1.810,449.683
1.820,445.380
1.830,440.718
1.840,432.470
1.850,424.581
1.860,417.767
1.870,408.444
1.880,406.651
1.890,401.630
1.900,394.458
1.910,383.701
1.920,379.397
1.930,368.998
1.940,362.902
1.950,357.881
1.960,361.109
1.970,357.881
1.980,356.447
1.990,359.316
2.000,360.033
2.010,357.523
2.020,364.336
2.030,368.281
2.040,378.680
2.050,391.590
2.060,410.595
2.070,434.980
2.080,570.530
2.090,616.431
2.100,639.740
2.110,659.104
2.120,671.297
2.130,678.469
2.140,677.751
2.150,680.620
2.160,687.792
2.170,684.923
2.180,679.544
2.190,671.297
2.200,651.574
2.210,620.734
2.220,588.819
2.230,547.580
2.240,506.700
2.250,468.330
2.260,451.476
2.270,444.304
2.280,441.435
2.290,438.925
2.300,432.111
2.310,424.939
2.320,415.616
2.330,407.009
2.340,395.176
2.350,386.928
2.360,376.170
2.370,368.639
2.380,364.695
2.390,360.033
2.400,361.467
2.410,358.599
2.420,362.185
2.430,368.639
2.440,374.377
2.450,379.756
2.460,382.266
2.470,385.852
2.480,399.837
2.490,420.636
2.500,437.849
2.510,446.814
2.520,457.213
2.530,464.027
2.540,469.764
2.550,472.633
2.560,474.067
2.570,472.992
2.580,470.481
2.590,484.825
2.600,588.460
2.610,582.006
2.620,573.399
2.630,558.697
2.640,574.475
2.650,558.338
2.660,523.554
2.670,473.709
2.680,439.642
2.690,427.091
2.700,422.788
2.710,427.808
2.720,431.036
2.730,433.904
2.740,433.904
2.750,433.187
2.760,427.808
2.770,424.222
2.780,417.767
2.790,412.388
2.800,405.216
2.810,396.610
2.820,390.155
2.830,385.135
2.840,380.115
2.850,374.018
2.860,371.867
2.870,370.074
2.880,371.150
2.890,367.922
2.900,370.432
2.910,370.074
2.920,373.301
2.930,377.963
2.940,389.438
2.950,395.176
2.960,393.383
2.970,398.403
2.980,403.423
2.990,408.802
3.000,414.899
3.010,420.995
3.020,425.657
3.030,431.394
3.040,442.869
3.050,456.496
3.060,465.102
3.070,474.067
3.080,484.467
3.090,541.125
3.100,620.376
3.110,631.134
3.120,627.189
3.130,613.921
3.140,604.239
3.150,578.061
3.160,550.090
3.170,519.251
3.180,474.426
3.190,433.904
3.200,400.555
3.210,385.852
3.220,394.458
3.230,398.044
