"type","name","count","units","time_units"
"clip2d","LT Butterfly, left",324,"mm","s"

"time","X","Y"
0.640,5.436,-69.518
0.650,5.800,-67.487
0.660,5.511,-68.172
0.670,5.673,-67.834
0.680,5.415,-63.832
0.690,4.868,-60.204
0.700,4.833,-59.965
0.710,4.482,-58.078
0.720,3.836,-53.713
0.730,3.120,-52.585
0.740,2.417,-52.188
0.750,1.741,-52.141
0.760,1.515,-53.007
0.770,1.294,-53.942
0.780,0.971,-54.139
0.790,0.520,-54.192
0.800,-0.183,-53.664
0.810,-1.176,-52.063
0.820,-2.164,-50.320
0.830,-3.105,-48.796
0.840,-3.965,-47.160
0.850,-4.695,-45.494
0.860,-5.646,-43.867
0.870,-6.286,-42.292
0.880,-6.926,-40.485
0.890,-7.562,-39.134
0.900,-8.289,-37.014
0.910,-9.102,-34.829
0.920,-9.793,-32.868
0.930,-10.417,-30.981
0.940,-11.133,-28.814
0.950,-11.646,-26.874
0.960,-12.219,-24.940
0.970,-12.812,-22.857
0.980,-13.352,-20.314
0.990,-13.887,-18.102
1.000,-14.496,-15.320
1.010,-15.157,-12.369
1.020,-15.903,-8.656
1.030,-16.586,-4.671
1.040,-17.317,-0.451
1.050,-18.168,4.148
1.060,-18.967,8.586
1.070,-19.582,12.819
1.080,-20.035,17.713
1.090,-20.416,21.675
1.100,-20.742,25.599
1.110,-20.873,29.586
1.120,-20.799,33.216
1.130,-20.677,36.001
1.140,-20.364,38.356
1.150,-20.027,40.163
1.160,-19.797,41.915
1.170,-19.482,43.505
1.180,-19.106,45.201
1.190,-18.503,46.947
1.200,-17.976,48.836
1.210,-17.202,50.767
1.220,-16.168,53.280
1.230,-15.263,55.293
1.240,-14.052,57.760
1.250,-12.832,60.690
1.260,-11.396,63.943
1.270,-9.521,68.167
1.280,-7.966,73.691
1.290,-6.821,81.431
1.300,-6.451,89.939
1.310,-6.847,91.884
1.320,-17.006,91.284
1.660,-0.975,-86.891
1.670,0.106,-82.324
1.680,0.693,-79.135
1.690,0.855,-75.950
1.700,0.488,-73.040
1.710,-0.248,-65.221
1.720,-0.987,-58.308
1.730,-1.461,-52.821
1.740,-2.055,-48.828
1.750,-2.548,-46.089
1.760,-2.665,-45.961
1.770,-2.741,-43.228
1.780,-2.445,-40.471
1.790,-2.084,-37.416
1.800,-1.663,-34.388
1.810,-1.360,-31.534
1.820,-1.020,-28.551
1.830,-0.422,-25.292
1.840,0.313,-21.445
1.850,0.969,-17.363
1.860,2.015,-13.221
1.870,3.231,-8.974
1.880,4.081,-4.423
1.890,5.261,0.508
1.900,6.327,4.997
1.910,7.152,9.908
1.920,8.047,14.532
1.930,8.936,20.088
1.940,9.643,25.094
1.950,10.431,30.187
1.960,10.949,34.847
1.970,11.515,39.202
1.980,12.031,44.233
1.990,12.332,48.348
2.000,12.548,52.748
2.010,13.221,57.998
2.020,13.315,60.920
2.030,13.527,65.767
2.040,13.312,66.791
2.050,13.463,67.130
2.060,13.288,67.604
2.070,13.186,67.815
2.080,13.055,68.303
2.090,12.842,68.611
2.100,12.662,68.894
2.110,11.965,69.552
2.120,11.515,69.924
2.130,11.335,70.501
2.140,10.463,71.124
2.150,10.476,72.126
2.160,10.422,73.130
2.170,10.440,74.102
2.180,10.822,75.405
2.190,11.007,76.730
2.200,11.598,79.001
2.210,12.051,81.327
2.220,11.757,84.690
2.230,12.910,89.683
2.240,13.613,92.648
2.250,15.703,96.283
2.260,18.759,101.356
2.270,16.025,107.749
2.590,-1.285,-88.807
2.600,0.216,-84.725
2.610,0.177,-80.223
2.620,0.082,-75.972
2.630,0.329,-72.216
2.640,-0.568,-58.843
2.650,-0.129,-53.324
2.660,0.412,-49.188
2.670,0.531,-46.035
2.680,0.971,-42.646
2.690,0.974,-40.272
2.700,0.617,-39.209
2.710,0.675,-38.805
2.720,0.706,-37.842
2.730,0.898,-37.267
2.740,1.444,-36.405
2.750,1.999,-35.742
2.760,2.704,-35.014
2.770,3.074,-34.391
2.780,3.277,-33.481
2.790,3.798,-32.978
2.800,4.280,-31.984
2.810,4.839,-31.689
2.820,5.326,-31.013
2.830,5.706,-30.513
2.840,6.161,-29.644
2.850,6.471,-29.059
2.860,6.759,-28.227
2.870,6.983,-26.662
2.880,7.150,-25.052
2.890,7.306,-22.799
2.900,7.341,-19.070
2.910,7.613,-14.522
2.920,7.493,-9.155
2.930,7.214,-3.978
2.940,6.580,1.314
2.950,6.040,6.014
2.960,5.329,12.484
2.970,4.496,18.848
2.980,3.604,24.773
2.990,2.931,31.550
3.000,2.764,37.279
3.010,2.704,42.927
3.020,2.562,49.765
3.030,2.586,55.199
3.040,2.703,57.481
3.050,2.916,58.254
3.060,3.298,59.087
3.070,3.549,59.751
3.080,3.954,60.611
3.090,4.397,61.461
3.100,4.781,62.238
3.110,5.059,62.979
3.120,5.536,64.307
3.130,6.211,65.672
3.140,7.108,67.176
3.150,8.040,69.216
3.160,8.649,70.755
3.170,9.148,72.193
3.180,10.240,74.139
3.190,10.274,76.860
3.200,11.657,81.094
3.210,18.533,93.771
3.220,19.419,97.957
3.230,24.329,103.892
