"type","name","count","units","time_units"
"clip2d","RT Butterfly, right",394,"mm","s"

"time","X","Y"
0.010,10.822,-40.089
0.020,4.701,-50.538
0.030,0.251,-41.934
0.040,-2.653,-31.926
0.050,-5.104,-24.137
0.060,-6.701,-13.099
0.070,-7.239,-3.684
0.080,-6.914,1.764
0.090,-7.384,2.193
0.100,-8.959,1.582
0.110,-9.863,1.792
0.120,-11.045,3.515
0.130,-11.789,7.253
0.140,-12.566,12.419
0.150,-13.049,19.812
0.160,-13.465,25.686
0.170,-13.838,29.714
0.180,-13.984,32.014
0.190,-14.176,34.190
0.200,-14.101,34.103
0.210,-13.870,34.795
0.220,-13.451,35.566
0.230,-13.306,35.630
0.240,-12.938,36.165
0.250,-12.711,36.153
0.260,-13.045,36.776
0.270,-13.121,36.911
0.280,-13.225,36.578
0.290,-13.450,36.603
0.300,-13.629,37.015
0.310,-13.917,37.455
0.320,-14.321,37.702
0.330,-14.606,37.753
0.340,-14.817,37.177
0.350,-14.887,35.549
0.360,-14.737,33.395
0.370,-14.486,30.156
0.380,-14.339,25.965
0.390,-14.123,21.424
0.400,-13.603,16.121
0.410,-13.259,11.655
0.420,-13.004,7.094
0.430,-12.639,3.111
0.440,-12.255,-0.460
0.450,-11.966,-3.587
0.460,-11.617,-6.996
0.470,-11.353,-9.674
0.480,-11.016,-13.048
0.490,-10.938,-15.432
0.500,-10.808,-16.656
0.510,-10.549,-18.212
0.520,-10.414,-19.140
0.530,-10.411,-19.634
0.540,-10.358,-20.522
0.550,-10.229,-21.364
0.560,-10.283,-21.969
0.570,-10.237,-22.725
0.580,-10.229,-23.567
0.590,-10.311,-24.136
0.600,-10.234,-24.577
0.610,-10.593,-23.367
0.620,-10.840,-22.110
0.630,-11.370,-19.277
0.640,-12.035,-15.646
0.650,-12.791,-11.449
0.660,-13.811,-4.998
0.670,-15.391,4.600
0.680,-17.679,18.228
0.690,-20.884,37.153
0.700,-24.134,58.351
0.710,-26.956,71.961
0.720,-28.014,75.306
0.730,-28.352,75.197
0.740,-29.009,75.905
0.750,-29.252,76.589
0.760,-29.496,77.808
0.770,-29.550,80.208
0.780,-29.613,83.625
0.790,-29.566,86.095
0.800,-28.412,91.053
1.160,9.048,-82.578
1.170,4.208,-79.335
1.180,4.040,-74.041
1.190,3.548,-70.955
1.200,3.152,-68.958
1.210,4.300,-63.027
1.220,4.323,-60.750
1.230,4.525,-54.507
1.240,4.541,-52.542
1.250,4.455,-49.202
1.260,4.254,-49.318
1.270,3.927,-49.765
1.280,3.732,-50.099
1.290,3.560,-51.216
1.300,3.555,-52.479
1.310,3.465,-53.370
1.320,3.514,-53.764
1.330,3.809,-53.999
1.340,4.210,-53.536
1.350,4.413,-53.548
1.360,4.503,-53.582
1.370,4.491,-53.686
1.380,4.353,-54.284
1.390,4.125,-54.695
1.400,3.925,-54.662
1.410,3.769,-54.832
1.420,3.630,-54.974
1.430,3.556,-55.040
1.440,3.580,-54.309
1.450,3.668,-53.850
1.460,3.804,-52.180
1.470,3.978,-50.704
1.480,3.984,-48.246
1.490,4.114,-44.700
1.500,4.081,-39.260
1.510,4.237,-33.282
1.520,4.226,-26.018
1.530,4.332,-17.105
1.540,4.352,-7.043
1.550,4.570,2.462
1.560,4.934,12.396
1.570,5.177,21.075
1.580,5.486,29.375
1.590,5.491,37.915
1.600,5.905,45.927
1.610,5.778,49.834
1.620,5.604,51.409
1.630,5.488,52.528
1.640,5.054,53.780
1.650,4.951,54.739
1.660,4.280,56.019
1.670,4.051,57.216
1.680,3.548,58.622
1.690,2.888,60.068
1.700,1.518,62.060
1.710,0.304,63.992
1.720,-1.178,66.207
1.730,-3.071,68.714
1.740,-3.726,71.929
1.750,-6.173,79.359
1.760,-16.066,90.082
1.770,-26.614,97.585
2.070,5.471,-90.361
2.080,2.984,-85.766
2.090,1.828,-82.056
2.100,1.374,-78.279
2.110,1.356,-74.746
2.120,1.908,-69.947
2.130,2.371,-64.089
2.140,2.445,-59.083
2.150,2.901,-52.292
2.160,3.100,-48.733
2.170,2.921,-46.676
2.180,2.554,-46.286
2.190,1.601,-45.079
2.200,0.827,-43.543
2.210,0.391,-43.076
2.220,-0.054,-41.280
2.230,-0.383,-39.390
2.240,-0.855,-37.893
2.250,-1.376,-36.137
2.260,-1.938,-33.061
2.270,-2.550,-29.806
2.280,-3.149,-26.060
2.290,-3.688,-22.194
2.300,-4.105,-17.960
2.310,-4.746,-13.148
2.320,-5.331,-8.633
2.330,-5.893,-3.158
2.340,-6.512,2.004
2.350,-6.886,7.486
2.360,-7.316,13.414
2.370,-7.973,20.038
2.380,-8.465,24.950
2.390,-8.748,29.936
2.400,-9.051,34.452
2.410,-9.430,39.550
2.420,-9.411,44.321
2.430,-9.797,48.635
2.440,-9.736,52.391
2.450,-9.551,56.788
2.460,-9.294,61.306
2.470,-8.763,64.111
2.480,-7.966,65.723
2.490,-6.699,65.723
2.500,-5.833,65.562
2.510,-5.152,65.821
2.520,-4.896,66.484
2.530,-4.519,66.806
2.540,-4.363,67.406
2.550,-4.199,68.154
2.560,-4.232,68.958
2.570,-3.920,69.608
2.580,-3.625,70.426
2.590,-3.451,71.398
2.600,-3.146,72.020
2.610,-3.013,72.965
2.620,-2.831,73.754
2.630,-3.048,74.523
2.640,-3.385,75.394
2.650,-4.109,76.394
2.660,-4.924,77.677
2.670,-5.276,80.677
2.680,-7.275,88.869
2.690,-12.538,98.259
2.700,-24.887,102.931
2.710,-25.395,109.381
3.080,6.928,-96.123
3.090,4.487,-91.888
3.100,2.567,-82.745
3.110,1.971,-78.894
3.120,1.468,-75.694
3.130,2.023,-71.403
3.140,3.210,-65.018
3.150,3.907,-59.702
3.160,4.313,-52.869
3.170,4.711,-46.051
3.180,4.962,-42.038
3.190,4.658,-39.005
3.200,4.072,-36.076
3.210,3.218,-32.511
3.220,2.038,-29.788
3.230,0.952,-27.005
3.240,-0.113,-24.878
3.250,-1.239,-22.484
3.260,-2.405,-20.787
3.270,-3.338,-19.227
3.280,-4.046,-18.224
3.290,-4.976,-16.973
3.300,-5.641,-14.882
3.310,-6.545,-12.543
3.320,-7.602,-9.323
3.330,-8.455,-5.568
3.340,-9.018,-2.536
3.350,-9.475,0.421
3.360,-9.919,2.784
3.370,-10.347,5.043
3.380,-10.619,7.306
3.390,-11.052,9.864
3.400,-11.265,12.204
3.410,-11.304,13.944
3.420,-11.610,16.532
3.430,-11.665,18.352
3.440,-11.459,19.181
3.450,-11.441,20.284
3.460,-11.064,21.949
3.470,-10.673,24.215
3.480,-10.037,25.954
3.490,-8.984,28.544
3.500,-7.803,31.020
3.510,-6.876,33.140
3.520,-5.831,35.279
3.530,-5.155,37.114
3.540,-4.300,38.707
3.550,-3.062,40.522
3.560,-2.606,42.378
3.570,-1.747,44.830
3.580,-1.108,47.275
3.590,-0.286,49.499
3.600,0.333,51.637
3.610,0.895,54.404
3.620,1.604,56.756
3.630,1.788,58.687
3.640,2.177,60.119
3.650,2.060,60.537
3.660,1.801,61.345
3.670,1.540,62.035
3.680,1.231,62.513
3.690,1.051,62.976
3.700,0.585,63.310
3.710,0.362,63.548
3.720,-0.126,64.109
3.730,-0.511,64.436
3.740,-0.851,64.965
3.750,-1.699,65.958
3.760,-2.724,66.732
3.770,-3.854,67.937
3.780,-5.533,69.134
3.790,-7.424,70.693
3.800,-9.690,72.364
3.810,-11.489,74.097
3.820,-14.090,75.198
3.830,-15.859,76.753
3.840,-18.442,78.830
3.850,-21.859,81.685
3.860,-23.768,84.760
3.870,-25.712,88.834
3.880,-25.908,93.986
3.890,-26.584,94.822
3.900,-28.864,96.982
3.910,-28.340,98.918
3.920,-26.847,100.995
3.930,-27.589,104.343
