"type","name","count","units","time_units"
"clip2d","LT Butterfly",394,"mm","s"

"time","X","Y"
0.640,40.233,98.344
0.650,27.561,95.486
0.660,15.332,93.201
0.670,6.534,94.107
0.680,0.122,99.733
0.690,-8.490,104.926
0.700,-16.397,106.932
0.710,-22.757,106.073
0.720,-27.105,104.578
0.730,-29.953,101.881
0.740,-33.014,98.750
0.750,-36.070,95.161
0.760,-39.498,89.827
0.770,-43.758,83.091
0.780,-48.133,76.789
0.790,-52.144,71.054
0.800,-55.881,66.623
0.810,-58.869,64.912
0.820,-59.858,66.655
0.830,-60.799,68.179
0.840,-61.659,69.815
0.850,-62.388,71.481
0.860,-63.340,73.108
0.870,-63.979,74.682
0.880,-64.619,76.489
0.890,-65.256,77.840
0.900,-65.983,79.961
0.910,-66.796,82.146
0.920,-67.487,84.107
0.930,-68.110,85.994
0.940,-68.827,88.161
0.950,-69.340,90.101
0.960,-69.913,92.035
0.970,-70.505,94.118
0.980,-71.045,96.660
0.990,-71.580,98.872
1.000,-72.190,101.654
1.010,-72.850,104.606
1.020,-73.596,108.319
1.030,-74.279,112.304
1.040,-75.010,116.524
1.050,-75.861,121.123
1.060,-76.660,125.560
1.070,-77.275,129.794
1.080,-77.729,134.688
1.090,-78.109,138.650
1.100,-78.435,142.573
1.110,-78.566,146.561
1.120,-78.493,150.190
1.130,-78.370,152.975
1.140,-78.058,155.331
1.150,-77.720,157.137
1.160,-74.954,156.700
1.170,-56.030,141.803
1.180,-43.203,133.258
1.190,-41.601,134.243
1.200,-40.775,135.702
1.210,-37.280,136.473
1.220,-33.508,136.390
1.230,-26.626,134.635
1.240,-18.968,131.284
1.250,-9.449,127.076
1.260,-0.654,121.766
1.270,10.339,114.151
1.280,22.562,104.732
1.290,35.452,92.972
1.300,45.342,82.562
1.310,51.782,74.440
1.320,58.837,65.740
1.330,61.502,62.975
1.340,61.903,63.439
1.350,62.106,63.427
1.360,62.197,63.392
1.370,62.185,63.288
1.380,62.046,62.691
1.390,61.818,62.280
1.400,61.618,62.313
1.410,61.462,62.143
1.420,61.324,62.001
1.430,61.249,61.935
1.440,61.274,62.665
1.450,61.362,63.125
1.460,61.497,64.795
1.470,61.672,66.270
1.480,61.677,68.728
1.490,61.807,72.274
1.500,61.775,77.715
1.510,61.930,83.693
1.520,61.919,90.957
1.530,62.026,99.870
1.540,62.045,109.931
1.550,62.264,119.436
1.560,62.628,129.371
1.570,62.870,138.050
1.580,63.180,146.349
1.590,63.184,154.890
1.600,63.598,162.901
1.610,63.471,166.809
1.620,63.297,168.383
1.630,63.182,169.503
1.640,62.747,170.755
1.650,62.644,171.714
1.660,56.811,166.877
1.670,34.228,142.014
1.680,27.169,135.900
1.690,22.800,133.276
1.700,18.713,132.036
1.710,12.366,130.111
1.720,3.512,125.890
1.730,-8.029,118.765
1.740,-23.462,106.680
1.750,-41.048,92.429
1.760,-52.264,81.811
1.770,-57.090,78.892
1.780,-60.138,76.503
1.790,-59.777,79.558
1.800,-59.356,82.586
1.810,-59.054,85.440
1.820,-58.713,88.424
1.830,-58.116,91.682
1.840,-57.380,95.529
1.850,-56.724,99.611
1.860,-55.678,103.754
1.870,-54.462,108.000
1.880,-53.613,112.552
1.890,-52.433,117.482
1.900,-51.367,121.972
1.910,-50.541,126.883
1.920,-49.646,131.507
1.930,-48.757,137.062
1.940,-48.051,142.069
1.950,-47.263,147.162
1.960,-46.744,151.821
1.970,-46.179,156.177
1.980,-45.663,161.208
1.990,-45.361,165.322
2.000,-45.146,169.722
2.010,-44.473,174.973
2.020,-44.378,177.895
2.030,-44.166,182.742
2.040,-44.381,183.766
2.050,-44.230,184.104
2.060,-44.405,184.578
2.070,-42.288,181.529
2.080,-20.874,150.513
2.090,-17.832,146.583
2.100,-16.789,145.941
2.110,-16.883,146.801
2.120,-16.739,147.971
2.130,-15.478,148.422
2.140,-15.361,149.450
2.150,-11.943,148.393
2.160,-8.452,146.328
2.170,-4.558,143.271
2.180,-0.124,139.272
