"type","name","count","units","time_units"
"clip","RT Pressure plots, Stance, Force curve",50,"N","s"

"time","value"
0.000,15.868
0.010,98.256
0.020,152.001
0.030,175.400
0.040,190.662
0.050,211.271
0.060,236.171
0.070,262.651
0.080,290.095
0.090,317.483
0.100,340.870
0.110,360.123
0.120,378.064
0.130,393.551
0.140,404.746
0.150,412.131
0.160,416.848
0.170,418.933
0.180,417.913
0.190,414.327
0.200,409.464
0.210,404.230
0.220,399.277
0.230,395.366
0.240,392.912
0.250,392.397
0.260,393.674
0.270,395.579
0.280,397.607
0.290,399.905
0.300,401.944
0.310,404.522
0.320,410.539
0.330,419.841
0.340,427.898
0.350,432.795
0.360,436.964
0.370,441.043
0.380,442.018
0.390,437.087
0.400,423.651
0.410,399.064
0.420,363.675
0.430,319.489
0.440,270.058
0.450,215.977
0.460,156.517
0.470,100.307
0.480,55.135
0.490,17.616
