"type","name","count","units","time_units"
"clip2d","LT Pressure plots, Stance, Gait line",50,"mm","s"

"time","X","Y"
0.000,6.419,-81.493
0.010,6.968,-78.182
0.020,7.060,-74.960
0.030,6.592,-69.993
0.040,5.728,-63.167
0.050,4.931,-56.768
0.060,4.313,-51.729
0.070,3.699,-48.220
0.080,3.150,-46.224
0.090,2.821,-45.018
0.100,2.687,-43.987
0.110,2.623,-42.681
0.120,2.554,-40.758
0.130,2.410,-38.404
0.140,2.204,-36.044
0.150,2.031,-33.491
0.160,2.077,-30.554
0.170,2.286,-27.643
0.180,2.390,-24.899
0.190,2.453,-21.957
0.200,2.546,-18.629
0.210,2.522,-15.122
0.220,2.369,-11.631
0.230,2.168,-7.731
0.240,1.973,-3.143
0.250,1.715,1.806
0.260,1.199,7.058
0.270,0.444,12.359
0.280,-0.408,18.026
0.290,-1.367,24.641
0.300,-2.393,31.001
0.310,-3.285,36.104
0.320,-3.937,40.581
0.330,-4.480,45.193
0.340,-4.939,49.552
0.350,-5.167,52.646
0.360,-5.221,54.646
0.370,-5.259,56.199
0.380,-5.285,57.530
0.390,-5.207,58.930
0.400,-4.995,60.485
0.410,-4.645,62.218
0.420,-4.060,64.304
0.430,-3.241,66.808
0.440,-2.367,69.772
0.450,-1.508,73.444
0.460,-0.565,78.227
0.470,0.864,84.902
0.480,2.321,92.714
0.490,2.597,99.405
