"type","name","count","units","time_units"
"clip2d","RT Pressure plots, Stance, Gait line",50,"mm","s"

"time","X","Y"
0.000,-8.236,-77.270
0.010,-11.393,-72.453
0.020,-12.438,-65.520
0.030,-11.695,-57.549
0.040,-9.983,-49.514
0.050,-8.275,-42.490
0.060,-7.284,-37.045
0.070,-6.862,-32.659
0.080,-6.744,-28.404
0.090,-6.846,-24.162
0.100,-7.097,-21.023
0.110,-7.416,-19.283
0.120,-7.688,-18.013
0.130,-7.797,-16.431
0.140,-7.732,-14.490
0.150,-7.568,-12.164
0.160,-7.432,-9.589
0.170,-7.357,-7.276
0.180,-7.292,-5.020
0.190,-7.196,-2.262
0.200,-7.083,0.375
0.210,-6.968,2.087
0.220,-6.713,3.480
0.230,-6.202,5.066
0.240,-5.533,6.329
0.250,-4.849,7.336
0.260,-4.099,8.729
0.270,-3.257,10.541
0.280,-2.363,12.731
0.290,-1.208,15.919
0.300,0.200,19.993
0.310,1.526,23.799
0.320,2.756,27.103
0.330,3.969,30.353
0.340,4.904,33.288
0.350,5.489,35.634
0.360,5.896,37.525
0.370,6.077,39.081
0.380,6.063,40.707
0.390,6.006,42.818
0.400,5.831,45.707
0.410,5.460,50.018
0.420,5.060,56.393
0.430,4.553,64.486
0.440,3.540,71.732
0.450,2.165,76.333
0.460,1.228,80.188
0.470,0.717,85.256
0.480,-0.989,92.186
0.490,-4.700,101.012
