"type","name","count","units","time_units"
"clip","LT Pressure plots, Stance, Force curve",50,"N","s"

"time","value"
0.000,23.070
0.010,110.553
0.020,167.436
0.030,201.129
0.040,232.536
0.050,268.157
0.060,305.182
0.070,339.578
0.080,370.163
0.090,397.596
0.100,419.052
0.110,432.515
0.120,439.956
0.130,442.556
0.140,440.210
0.150,433.800
0.160,424.715
0.170,415.302
0.180,407.458
0.190,399.598
0.200,391.261
0.210,384.358
0.220,379.308
0.230,376.334
0.240,375.811
0.250,377.485
0.260,381.698
0.270,387.541
0.280,391.963
0.290,395.176
0.300,399.673
0.310,405.515
0.320,413.315
0.330,423.565
0.340,434.233
0.350,444.334
0.360,454.569
0.370,462.532
0.380,464.370
0.390,459.156
0.400,446.142
0.410,424.327
0.420,392.979
0.430,350.874
0.440,297.443
0.450,232.940
0.460,161.369
0.470,94.879
0.480,46.080
0.490,13.926
