Frame, PELVIS,,, SPINE_NAVAL,,, SPINE_CHEST,,,NECK,,, CLAVICLE_LEFT,,, SHOULDER_LEFT,,,ELBOW_LEFT,,,WRIST_LEFT,,,HAND_LEFT,,,HANDTIP_LEFT,,,THUMB_LEFT,,,CLAVICLE_RIGHT,,,SHOULDER_RIGHT,,,ELBOW_RIGHT,,,WRIST_RIGHT,,,HAND_RIGHT,,,HANDTIP_RIGHT,,,THUMB_RIGHT,,,HIP_LEFT,,,KNEE_LEFT,,,ANKLE_LEFT,,,FOOT_LEFT,,,HIP_RIGHT,,,KNEE_RIGHT,,,ANKLE_RIGHT,,,FOOT_RIGHT,,,HEAD,,,NOSE,,,EYE_LEFT,,,EAR_LEFT,,,EYE_RIGHT,,,EAR_RIGHT,,,Hour, Minute, Second, Millisecond, FootSwitch
0, 67.624283, -767.918274, 4469.361816, 69.548180, -921.886780, 4415.321289, 72.756149, -1049.143555, 4386.765137, 72.547401, -1247.712891, 4384.150391, 103.419144, -1215.201172, 4384.032227, 233.392151, -1226.219971, 4374.894531, 274.129730, -981.345276, 4422.538574, 306.876282, -772.736450, 4443.003906, 245.789490, -710.870728, 4457.111328, 218.871811, -621.814880, 4423.744141, 220.132568, -721.527832, 4406.211914, 41.939194, -1214.630127, 4387.045410, -77.787888, -1221.751221, 4377.819824, -115.196373, -976.496460, 4446.988770, -139.799530, -763.770020, 4429.734863, -58.730663, -717.101501, 4445.352051, -88.326332, -624.598389, 4447.703125, -71.997849, -673.510376, 4434.753418, 150.517578, -763.960449, 4461.036133, 112.785248, -424.473755, 4593.014648, 84.595329, -127.804222, 4776.498047, 27.719837, -18.227152, 4657.661133, -7.124238, -771.487244, 4476.869141, 90.924164, -440.270416, 4597.229980, 189.640518, -131.826019, 4739.289551, 198.428497, -54.986961, 4601.902832, 71.871376, -1321.250244, 4370.930664, 91.861816, -1319.891479, 4225.320313, 123.809616, -1348.780396, 4252.996582, 163.969131, -1346.158936, 4361.746582, 78.620934, -1361.417847, 4243.754883, 23.298479, -1399.894043, 4342.860352, 15, 19, 25, 43, 0,
1, 67.803902, -767.707764, 4468.547852, 69.843315, -921.454102, 4414.055664, 72.994492, -1048.284180, 4383.853027, 72.358459, -1246.711304, 4377.934082, 103.287285, -1214.277222, 4378.258789, 233.080597, -1225.250000, 4367.346191, 274.458923, -981.075073, 4417.489746, 307.399963, -772.686218, 4439.075684, 246.101776, -711.737854, 4455.818359, 214.441483, -622.666016, 4427.081543, 219.233032, -721.853271, 4405.422363, 41.840271, -1213.630249, 4381.475586, -77.904297, -1220.183472, 4372.618652, -113.840805, -976.080200, 4446.162598, -137.550003, -763.035583, 4433.018555, -56.682415, -716.856750, 4450.783691, -87.191536, -624.827759, 4456.390625, -69.237877, -674.683472, 4439.770508, 150.671600, -763.683655, 4460.295898, 111.405563, -424.819489, 4593.064453, 79.517632, -121.575386, 4764.566406, 23.714811, -16.881660, 4641.000488, -6.921545, -771.336426, 4475.989258, 90.316536, -440.116669, 4596.605957, 188.279419, -131.365067, 4738.207520, 195.304932, -53.409046, 4601.413574, 71.485771, -1319.990601, 4363.498535, 71.085007, -1302.509644, 4217.612305, 105.407143, -1335.083496, 4237.113770, 160.341568, -1345.800293, 4338.624023, 58.931465, -1345.534912, 4233.076172, 16.477018, -1393.753418, 4334.196777, 15, 19, 25, 76, 0,
2, 72.508667, -770.140259, 4465.906250, 78.470619, -925.655823, 4413.343262, 84.326996, -1053.854736, 4385.477051, 79.054359, -1253.669067, 4387.943848, 110.953300, -1221.748779, 4387.386230, 240.578323, -1228.347778, 4365.513184, 280.662048, -984.121216, 4424.564941, 307.275452, -772.460510, 4434.421875, 242.956757, -714.773804, 4454.327148, 212.795319, -623.207397, 4429.744629, 218.103439, -721.041443, 4401.909180, 49.069614, -1219.538574, 4389.613770, -70.909767, -1220.676636, 4373.306152, -115.863174, -976.674194, 4448.507813, -139.222260, -762.597656, 4428.677734, -59.323967, -715.161682, 4450.572266, -89.523186, -622.150635, 4449.951172, -69.488525, -675.293640, 4436.476074, 156.164368, -765.211365, 4460.812012, 99.332008, -428.667725, 4600.023926, 46.540714, -117.126289, 4755.756348, -0.309169, -38.692810, 4609.446289, -2.927348, -774.584839, 4470.500000, 90.140312, -438.338501, 4588.210938, 182.886932, -123.789009, 4726.698730, 201.394485, -44.006073, 4590.763672, 76.648727, -1327.970825, 4376.521973, 107.985916, -1302.366577, 4234.209961, 138.552643, -1335.307617, 4259.439941, 170.338669, -1350.275391, 4370.751465, 94.220284, -1346.775146, 4244.587402, 31.895891, -1401.899048, 4331.939453, 15, 19, 25, 110, 0,
3, 53.898247, -763.735535, 4453.237305, 73.316689, -919.777588, 4406.507324, 87.272293, -1047.783081, 4381.636719, 88.700729, -1245.473877, 4353.942871, 119.423004, -1213.097412, 4360.196289, 250.338577, -1223.493774, 4365.709473, 282.098999, -977.829224, 4422.312988, 309.798889, -766.576599, 4431.604492, 242.178726, -713.961304, 4453.932129, 212.508499, -622.519531, 4428.842773, 217.584198, -719.580505, 4401.435059, 57.561951, -1212.788452, 4358.754395, -62.586479, -1225.586548, 4363.535645, -107.073296, -981.145874, 4436.333496, -145.623566, -768.655273, 4435.040039, -70.469612, -712.067017, 4450.469727, -107.704231, -621.893188, 4454.897461, -86.310539, -673.591370, 4438.985840, 136.590210, -757.075684, 4465.361328, 91.800346, -418.858917, 4603.579102, 46.463093, -105.996162, 4757.918457, 1.202229, -36.203213, 4607.078613, -20.668745, -769.741028, 4442.305176, -11.162810, -426.024567, 4572.604492, -2.536958, -105.422913, 4725.956543, 39.940037, -33.378139, 4591.335938, 89.524117, -1317.135132, 4331.458008, 89.991203, -1281.190796, 4188.145508, 120.789726, -1319.745361, 4202.765625, 175.244797, -1349.338257, 4301.489746, 73.146027, -1324.476929, 4198.425293, 26.078789, -1380.478882, 4294.144043, 15, 19, 25, 139, 0,
4, 64.254852, -761.831360, 4471.309570, 78.732231, -917.687866, 4414.344727, 90.966698, -1046.453491, 4382.678711, 102.457916, -1246.676147, 4353.226563, 131.939270, -1212.404907, 4360.341309, 264.074982, -1226.106079, 4373.246094, 293.370697, -975.276184, 4426.119629, 321.325958, -760.710876, 4434.745605, 245.285385, -716.629517, 4453.656250, 212.961655, -623.444458, 4432.448242, 227.734985, -718.265930, 4397.133789, 69.215225, -1215.064819, 4357.786621, -52.582764, -1230.191528, 4361.387207, -102.652489, -983.164917, 4436.106445, -145.204880, -768.212708, 4427.518555, -70.178955, -715.008911, 4457.705078, -105.219910, -622.387512, 4452.505859, -83.928787, -673.724976, 4437.867676, 148.957458, -753.413391, 4469.804688, 93.077011, -408.727509, 4603.143066, 45.236118, -95.232994, 4767.569824, -1.861125, -40.774597, 4608.164063, -12.125232, -769.422180, 4472.666504, 54.827339, -421.622589, 4590.829590, 115.490540, -115.910652, 4772.935547, 140.453720, -42.432190, 4631.955078, 107.149086, -1319.144409, 4329.920410, 118.616417, -1258.916504, 4192.989746, 154.933105, -1293.882935, 4206.754883, 202.071106, -1330.321045, 4309.028320, 109.419266, -1306.322021, 4194.236328, 62.073708, -1386.417480, 4273.657227, 15, 19, 25, 172, 0,
5, 50.852043, -759.432556, 4450.996582, 75.660378, -916.428589, 4404.928711, 94.284447, -1044.611450, 4378.003418, 101.886681, -1243.450439, 4347.017090, 131.781570, -1210.117310, 4354.909180, 262.914124, -1222.101074, 4370.508789, 290.142944, -971.736816, 4418.269531, 316.175659, -758.478699, 4429.597168, 233.133530, -725.702087, 4426.832520, 214.361053, -627.300293, 4430.078613, 218.455078, -715.902100, 4389.930664, 69.476227, -1211.374878, 4351.291504, -51.493176, -1227.085327, 4351.821777, -102.694885, -984.098267, 4432.754395, -145.159302, -770.413879, 4432.936035, -69.490234, -713.708069, 4450.477051, -106.472321, -622.525146, 4445.589355, -86.396133, -674.163025, 4432.148926, 133.943344, -750.023804, 4463.677734, 99.215569, -408.552246, 4605.404785, 65.268913, -93.352226, 4764.913086, 23.441854, -36.085701, 4606.270020, -24.075050, -767.916870, 4439.561035, -37.679264, -426.073547, 4582.937012, -50.825127, -108.370361, 4748.773926, -10.990389, -42.485691, 4608.653320, 105.381821, -1315.312378, 4323.249512, 112.603035, -1256.555054, 4186.458008, 145.310898, -1295.392578, 4197.292969, 195.686279, -1337.403931, 4294.889648, 98.082291, -1302.243286, 4188.660156, 48.570015, -1376.085327, 4271.520996, 15, 19, 25, 219, 0,
6, 73.283211, -761.986206, 4460.527832, 90.189621, -914.616760, 4403.310547, 104.278893, -1040.371216, 4369.378418, 109.756157, -1239.086670, 4353.486328, 139.761551, -1205.830322, 4358.047363, 270.350311, -1212.455200, 4370.099609, 293.674530, -963.182617, 4411.968262, 314.997986, -751.619812, 4425.240723, 230.060226, -727.106018, 4422.364746, 211.017441, -629.978394, 4414.939941, 214.005554, -722.511841, 4384.852051, 77.983978, -1206.827393, 4356.102051, -41.310944, -1224.065430, 4348.076660, -91.120865, -981.793884, 4423.696289, -129.057358, -769.414185, 4422.363281, -63.458630, -709.840088, 4457.261230, -108.395874, -623.529602, 4450.240723, -84.271606, -670.270813, 4427.428711, 156.482346, -752.393127, 4459.521484, 105.022041, -415.907074, 4598.649902, 59.099724, -106.477943, 4758.820313, 17.798666, -40.142998, 4605.501953, -1.741096, -770.636719, 4461.436035, 56.532688, -425.930054, 4574.211426, 113.041252, -129.817490, 4761.951660, 127.613274, -38.216972, 4633.639648, 112.159882, -1311.848511, 4335.316895, 122.308556, -1278.338379, 4191.926758, 145.364120, -1321.541748, 4207.589844, 191.339554, -1359.129883, 4307.757324, 97.801132, -1317.760742, 4202.116699, 39.372028, -1363.264160, 4296.984375, 15, 19, 25, 252, 0,
7, 77.651855, -761.905823, 4456.840332, 91.561455, -914.966980, 4399.640625, 103.573410, -1041.552490, 4367.706543, 111.328232, -1240.276367, 4351.142090, 141.002075, -1206.620728, 4355.226074, 271.968842, -1206.409790, 4365.913574, 293.837128, -957.683899, 4412.610352, 313.855408, -745.521790, 4418.879395, 228.724243, -721.293457, 4419.300781, 213.711426, -623.113953, 4418.506348, 214.562927, -712.750000, 4379.020020, 79.173752, -1208.418213, 4354.456055, -40.643097, -1223.120850, 4348.060547, -89.668533, -980.493713, 4423.668457, -126.838104, -767.893799, 4418.141113, -64.347336, -706.424866, 4455.547363, -103.746132, -618.572571, 4439.389160, -80.812347, -668.069336, 4424.509277, 160.978348, -753.303650, 4454.084961, 109.431015, -416.934204, 4594.136719, 62.330803, -107.107193, 4753.731934, 14.985106, -40.004276, 4602.373535, 2.512693, -769.662842, 4459.325195, 65.873695, -425.716553, 4572.511230, 135.171387, -119.382324, 4738.808105, 114.532455, -38.756466, 4603.992676, 114.329811, -1313.004395, 4332.712402, 105.649689, -1295.117432, 4186.350586, 133.443832, -1334.866089, 4203.515137, 193.158340, -1358.236450, 4300.813477, 85.385292, -1334.590942, 4203.464844, 41.554211, -1372.704224, 4308.967773, 15, 19, 25, 287, 0,
8, 77.651855, -761.905823, 4456.840332, 91.561455, -914.966980, 4399.640625, 103.573410, -1041.552490, 4367.706543, 111.328232, -1240.276367, 4351.142090, 141.002075, -1206.620728, 4355.226074, 271.968842, -1206.409790, 4365.913574, 293.837128, -957.683899, 4412.610352, 313.855408, -745.521790, 4418.879395, 228.724243, -721.293457, 4419.300781, 213.711426, -623.113953, 4418.506348, 214.562927, -712.750000, 4379.020020, 79.173752, -1208.418213, 4354.456055, -40.643097, -1223.120850, 4348.060547, -89.668533, -980.493713, 4423.668457, -126.838104, -767.893799, 4418.141113, -64.347336, -706.424866, 4455.547363, -103.746132, -618.572571, 4439.389160, -80.812347, -668.069336, 4424.509277, 160.978348, -753.303650, 4454.084961, 109.431015, -416.934204, 4594.136719, 62.330803, -107.107193, 4753.731934, 14.985106, -40.004276, 4602.373535, 2.512693, -769.662842, 4459.325195, 65.873695, -425.716553, 4572.511230, 135.171387, -119.382324, 4738.808105, 114.532455, -38.756466, 4603.992676, 114.329811, -1313.004395, 4332.712402, 105.649689, -1295.117432, 4186.350586, 133.443832, -1334.866089, 4203.515137, 193.158340, -1358.236450, 4300.813477, 85.385292, -1334.590942, 4203.464844, 41.554211, -1372.704224, 4308.967773, 15, 19, 25, 318, 0,
9, 92.597359, -766.972595, 4420.006836, 100.127213, -922.415955, 4380.958496, 105.559868, -1048.724121, 4359.271484, 115.512321, -1243.214600, 4345.178223, 144.069626, -1209.984741, 4350.021484, 272.109772, -1205.109131, 4360.547852, 289.742310, -959.537415, 4394.464355, 305.048126, -752.019775, 4409.061035, 224.646652, -722.468689, 4396.328613, 209.113449, -641.765076, 4344.469238, 200.130539, -711.939941, 4372.024414, 83.672615, -1212.308716, 4346.877930, -34.230927, -1218.217896, 4339.622559, -86.433647, -982.378113, 4415.651855, -123.902870, -774.495667, 4416.290039, -58.805691, -711.160278, 4437.401367, -103.445831, -627.142700, 4445.913574, -86.516052, -673.468445, 4418.963867, 174.371597, -764.414368, 4425.591797, 143.330368, -438.317902, 4575.017578, 107.255409, -139.981354, 4742.622559, 93.030304, -12.227684, 4633.702637, 18.857933, -769.279480, 4414.970215, 26.392155, -439.613312, 4558.549805, 37.482418, -133.686935, 4723.436523, 54.776924, -17.861464, 4621.875000, 119.796906, -1314.499390, 4327.936523, 135.464783, -1297.917725, 4185.232422, 156.423355, -1338.684448, 4206.036621, 197.038605, -1365.143921, 4309.231934, 110.178581, -1334.637573, 4198.549316, 48.655964, -1367.245483, 4293.609863, 15, 19, 25, 347, 0,
